call_id,case_id,client_id,case_manager_id,call_date,direction,duration_seconds,outcome
CALL-0000050,CASE-000007,CL-00007,CM-018,2025-02-11,Inbound,7,Connected
CALL-0000051,CASE-000007,CL-00007,CM-018,2024-09-25,Outbound,42,Connected
CALL-0000052,CASE-000007,CL-00007,CM-018,2024-09-26,Outbound,7,Callback Requested
CALL-0000053,CASE-000007,CL-00007,CM-018,2025-03-06,Outbound,71,Callback Requested
CALL-0000054,CASE-000007,CL-00007,CM-018,2024-09-24,Inbound,101,Callback Requested
CALL-0000055,CASE-000008,CL-00008,CM-004,2025-01-25,Outbound,33,Voicemail
CALL-0000056,CASE-000008,CL-00008,CM-004,2025-02-23,Outbound,261,Connected
CALL-0000057,CASE-000008,CL-00008,CM-004,2024-12-21,Inbound,112,Connected
CALL-0000058,CASE-000009,CL-00009,CM-002,2024-01-04,Outbound,109,Connected
CALL-0000059,CASE-000009,CL-00009,CM-002,2023-11-10,Outbound,33,Connected
CALL-0000060,CASE-000010,CL-00010,CM-013,2024-09-30,Outbound,45,No Answer
CALL-0000061,CASE-000010,CL-00010,CM-013,2024-08-27,Inbound,14,No Answer
CALL-0000062,CASE-000010,CL-00010,CM-013,2025-03-31,Outbound,76,Connected
CALL-0000063,CASE-000010,CL-00010,CM-013,2025-03-09,Inbound,86,Callback Requested
CALL-0000064,CASE-000010,CL-00010,CM-013,2024-11-27,Outbound,145,Connected
CALL-0000065,CASE-000010,CL-00010,CM-013,2024-09-20,Inbound,167,Connected
CALL-0000066,CASE-000011,CL-00010,CM-016,2024-12-20,Outbound,3,Connected
CALL-0000067,CASE-000011,CL-00010,CM-016,2024-12-02,Inbound,72,Callback Requested
CALL-0000068,CASE-000011,CL-00010,CM-016,2024-07-14,Outbound,444,Wrong Number
CALL-0000069,CASE-000011,CL-00010,CM-016,2024-11-23,Outbound,176,Connected
CALL-0000070,CASE-000012,CL-00011,CM-004,2023-11-24,Inbound,9,Voicemail
CALL-0000071,CASE-000013,CL-00012,CM-014,2024-10-27,Inbound,15,Voicemail
CALL-0000072,CASE-000013,CL-00012,CM-014,2024-08-12,Inbound,71,Connected
CALL-0000073,CASE-000013,CL-00012,CM-014,2025-01-05,Inbound,57,Connected
CALL-0000074,CASE-000013,CL-00012,CM-014,2024-12-21,Outbound,133,Connected
CALL-0000075,CASE-000013,CL-00012,CM-014,2025-01-02,Inbound,435,Voicemail
CALL-0000076,CASE-000013,CL-00012,CM-014,2024-09-28,Outbound,181,No Answer
CALL-0000077,CASE-000013,CL-00012,CM-014,2024-11-24,Outbound,33,Connected
CALL-0000078,CASE-000014,CL-00013,CM-011,2024-04-28,Inbound,81,Connected
CALL-0000079,CASE-000014,CL-00013,CM-011,2024-08-16,Inbound,189,Voicemail
CALL-0000080,CASE-000014,CL-00013,CM-011,2024-10-07,Inbound,168,Callback Requested
CALL-0000081,CASE-000014,CL-00013,CM-011,2024-04-29,Outbound,37,Callback Requested
CALL-0000082,CASE-000015,CL-00013,CM-016,2024-06-29,Inbound,363,Connected
CALL-0000083,CASE-000015,CL-00013,CM-016,2024-12-12,Outbound,67,No Answer
CALL-0000084,CASE-000015,CL-00013,CM-016,2024-08-03,Outbound,113,Connected
CALL-0000085,CASE-000015,CL-00013,CM-016,2025-02-27,Outbound,412,Connected
CALL-0000086,CASE-000015,CL-00013,CM-016,2024-05-14,Outbound,16,Voicemail
CALL-0000087,CASE-000016,CL-00014,CM-009,2024-05-16,Inbound,189,Voicemail
CALL-0000088,CASE-000016,CL-00014,CM-009,2025-02-28,Inbound,311,Voicemail
CALL-0000089,CASE-000016,CL-00014,CM-009,2024-05-02,Outbound,21,Connected
CALL-0000090,CASE-000017,CL-00014,CM-006,2024-04-29,Inbound,113,Connected
CALL-0000091,CASE-000017,CL-00014,CM-006,2024-03-06,Inbound,20,Connected
CALL-0000092,CASE-000017,CL-00014,CM-006,2024-03-31,Inbound,49,Voicemail
CALL-0000093,CASE-000017,CL-00014,CM-006,2024-03-04,Inbound,145,Callback Requested
CALL-0000094,CASE-000018,CL-00015,CM-015,2024-05-11,Outbound,1,No Answer
CALL-0000095,CASE-000018,CL-00015,CM-015,2024-03-05,Inbound,31,Connected
CALL-0000096,CASE-000018,CL-00015,CM-015,2024-01-30,Inbound,22,Voicemail
CALL-0000097,CASE-000018,CL-00015,CM-015,2024-05-14,Outbound,504,Connected
CALL-0000098,CASE-000018,CL-00015,CM-015,2024-03-29,Inbound,436,Voicemail
CALL-0000099,CASE-000019,CL-00016,CM-010,2024-10-31,Outbound,667,Connected
CALL-0000100,CASE-000019,CL-00016,CM-010,2024-09-25,Outbound,48,Connected
CALL-0000101,CASE-000019,CL-00016,CM-010,2024-12-22,Inbound,24,Connected
CALL-0000102,CASE-000020,CL-00017,CM-004,2024-09-02,Outbound,165,No Answer
CALL-0000103,CASE-000020,CL-00017,CM-004,2023-12-16,Inbound,271,Voicemail
CALL-0000104,CASE-000020,CL-00017,CM-004,2023-11-26,Inbound,94,No Answer
CALL-0000105,CASE-000021,CL-00018,CM-002,2025-05-20,Inbound,401,Callback Requested
CALL-0000106,CASE-000021,CL-00018,CM-002,2025-05-20,Outbound,71,No Answer
CALL-0000107,CASE-000021,CL-00018,CM-002,2025-05-20,Outbound,127,No Answer
CALL-0000108,CASE-000021,CL-00018,CM-002,2025-05-19,Inbound,205,Callback Requested
CALL-0000109,CASE-000021,CL-00018,CM-002,2025-05-20,Outbound,176,Connected
CALL-0000110,CASE-000021,CL-00018,CM-002,2025-05-19,Inbound,218,Connected
CALL-0000111,CASE-000021,CL-00018,CM-002,2025-05-19,Outbound,220,Callback Requested
CALL-0000112,CASE-000021,CL-00018,CM-002,2025-05-20,Inbound,55,Connected
CALL-0000113,CASE-000021,CL-00018,CM-002,2025-05-19,Outbound,208,Connected
CALL-0000114,CASE-000022,CL-00019,CM-010,2024-12-13,Outbound,132,Voicemail
CALL-0000115,CASE-000022,CL-00019,CM-010,2025-04-08,Outbound,17,Voicemail
CALL-0000116,CASE-000022,CL-00019,CM-010,2025-04-12,Inbound,91,Voicemail
CALL-0000117,CASE-000022,CL-00019,CM-010,2024-11-27,Inbound,302,Connected
CALL-0000118,CASE-000022,CL-00019,CM-010,2025-03-28,Outbound,114,Connected
CALL-0000119,CASE-000022,CL-00019,CM-010,2024-11-08,Inbound,143,Connected
CALL-0000120,CASE-000022,CL-00019,CM-010,2025-03-15,Inbound,352,Voicemail
CALL-0000121,CASE-000022,CL-00019,CM-010,2024-10-26,Inbound,71,Wrong Number
CALL-0000122,CASE-000023,CL-00020,CM-015,2024-08-07,Outbound,61,Connected
CALL-0000123,CASE-000023,CL-00020,CM-015,2024-09-05,Outbound,41,Connected
CALL-0000124,CASE-000024,CL-00021,CM-010,2024-11-20,Outbound,143,Wrong Number
CALL-0000125,CASE-000024,CL-00021,CM-010,2024-10-31,Outbound,261,Connected
CALL-0000126,CASE-000024,CL-00021,CM-010,2024-09-17,Outbound,55,Connected
CALL-0000127,CASE-000025,CL-00022,CM-018,2023-08-27,Outbound,227,Connected
CALL-0000128,CASE-000025,CL-00022,CM-018,2023-10-21,Outbound,41,Wrong Number
CALL-0000129,CASE-000025,CL-00022,CM-018,2023-09-24,Inbound,70,No Answer
CALL-0000130,CASE-000025,CL-00022,CM-018,2023-08-29,Outbound,93,Voicemail
CALL-0000131,CASE-000026,CL-00023,CM-018,2025-06-10,Outbound,300,Voicemail
CALL-0000132,CASE-000026,CL-00023,CM-018,2025-06-23,Inbound,446,Connected
CALL-0000133,CASE-000026,CL-00023,CM-018,2025-06-26,Outbound,147,Voicemail
CALL-0000134,CASE-000026,CL-00023,CM-018,2025-06-22,Outbound,293,Voicemail
CALL-0000135,CASE-000026,CL-00023,CM-018,2025-06-10,Outbound,13,No Answer
CALL-0000136,CASE-000026,CL-00023,CM-018,2025-06-16,Outbound,401,Connected
CALL-0000137,CASE-000026,CL-00023,CM-018,2025-06-29,Outbound,66,Connected
CALL-0000138,CASE-000026,CL-00023,CM-018,2025-06-06,Inbound,59,Callback Requested
CALL-0000139,CASE-000026,CL-00023,CM-018,2025-06-28,Outbound,7,Connected
CALL-0000140,CASE-000026,CL-00023,CM-018,2025-06-09,Outbound,84,Voicemail
CALL-0000141,CASE-000027,CL-00024,CM-003,2024-11-12,Outbound,56,No Answer
CALL-0000142,CASE-000027,CL-00024,CM-003,2025-03-13,Outbound,7,Connected
CALL-0000143,CASE-000027,CL-00024,CM-003,2024-11-14,Outbound,123,Voicemail
CALL-0000144,CASE-000027,CL-00024,CM-003,2024-08-25,Inbound,69,Wrong Number
CALL-0000145,CASE-000027,CL-00024,CM-003,2025-01-06,Outbound,16,Voicemail
CALL-0000146,CASE-000027,CL-00024,CM-003,2024-07-22,Outbound,73,Wrong Number
CALL-0000147,CASE-000027,CL-00024,CM-003,2025-01-07,Inbound,59,Voicemail
CALL-0000148,CASE-000027,CL-00024,CM-003,2025-02-15,Outbound,26,Connected
CALL-0000149,CASE-000027,CL-00024,CM-003,2025-04-13,Outbound,338,Callback Requested
CALL-0000150,CASE-000027,CL-00024,CM-003,2025-01-04,Inbound,284,Connected
CALL-0000151,CASE-000027,CL-00024,CM-003,2025-05-02,Inbound,89,Voicemail
CALL-0000152,CASE-000028,CL-00025,CM-011,2025-02-08,Inbound,39,Connected
CALL-0000153,CASE-000028,CL-00025,CM-011,2025-04-11,Outbound,27,Connected
CALL-0000154,CASE-000028,CL-00025,CM-011,2025-02-07,Outbound,482,No Answer
CALL-0000155,CASE-000028,CL-00025,CM-011,2025-04-10,Outbound,86,Voicemail
CALL-0000156,CASE-000028,CL-00025,CM-011,2025-03-07,Outbound,33,Voicemail
CALL-0000157,CASE-000028,CL-00025,CM-011,2025-01-29,Inbound,254,Voicemail
CALL-0000158,CASE-000028,CL-00025,CM-011,2025-04-07,Inbound,237,Connected
CALL-0000159,CASE-000028,CL-00025,CM-011,2025-02-10,Outbound,72,Connected
CALL-0000160,CASE-000028,CL-00025,CM-011,2025-03-13,Inbound,251,Callback Requested
CALL-0000161,CASE-000029,CL-00026,CM-008,2023-09-23,Outbound,7,Connected
CALL-0000162,CASE-000029,CL-00026,CM-008,2024-02-20,Inbound,168,Voicemail
CALL-0000163,CASE-000029,CL-00026,CM-008,2023-09-23,Outbound,76,Voicemail
CALL-0000164,CASE-000029,CL-00026,CM-008,2023-09-24,Outbound,143,Voicemail
CALL-0000165,CASE-000029,CL-00026,CM-008,2023-09-17,Outbound,108,Connected
CALL-0000166,CASE-000029,CL-00026,CM-008,2023-12-05,Outbound,367,No Answer
CALL-0000167,CASE-000029,CL-00026,CM-008,2024-02-12,Outbound,61,No Answer
CALL-0000168,CASE-000029,CL-00026,CM-008,2024-01-18,Inbound,158,Voicemail
CALL-0000169,CASE-000029,CL-00026,CM-008,2023-12-02,Outbound,12,Connected
CALL-0000170,CASE-000029,CL-00026,CM-008,2023-10-22,Outbound,22,Voicemail
CALL-0000171,CASE-000029,CL-00026,CM-008,2023-12-07,Outbound,24,Connected
CALL-0000172,CASE-000029,CL-00026,CM-008,2023-10-29,Inbound,89,Connected
CALL-0000173,CASE-000029,CL-00026,CM-008,2023-11-12,Outbound,56,No Answer
CALL-0000174,CASE-000029,CL-00026,CM-008,2024-02-08,Inbound,148,Connected
CALL-0000175,CASE-000030,CL-00027,CM-016,2025-01-31,Inbound,15,Connected
CALL-0000176,CASE-000030,CL-00027,CM-016,2024-09-03,Inbound,329,Voicemail
CALL-0000177,CASE-000030,CL-00027,CM-016,2024-10-18,Inbound,75,Connected
CALL-0000178,CASE-000030,CL-00027,CM-016,2025-01-30,Inbound,70,Connected
CALL-0000179,CASE-000030,CL-00027,CM-016,2025-03-28,Outbound,636,Connected
CALL-0000180,CASE-000031,CL-00028,CM-018,2024-09-24,Inbound,95,Connected
CALL-0000181,CASE-000031,CL-00028,CM-018,2024-11-16,Outbound,302,Connected
CALL-0000182,CASE-000031,CL-00028,CM-018,2024-10-19,Inbound,293,Voicemail
CALL-0000183,CASE-000031,CL-00028,CM-018,2024-12-04,Outbound,260,Connected
CALL-0000184,CASE-000031,CL-00028,CM-018,2024-12-28,Inbound,130,Voicemail
CALL-0000185,CASE-000031,CL-00028,CM-018,2024-11-25,Outbound,51,Connected
CALL-0000186,CASE-000032,CL-00029,CM-006,2025-05-29,Outbound,86,Voicemail
CALL-0000187,CASE-000032,CL-00029,CM-006,2025-05-31,Outbound,47,Connected
CALL-0000188,CASE-000032,CL-00029,CM-006,2025-06-22,Inbound,14,No Answer
CALL-0000189,CASE-000032,CL-00029,CM-006,2025-06-30,Inbound,138,Connected
CALL-0000190,CASE-000033,CL-00029,CM-009,2025-06-23,Inbound,138,Connected
CALL-0000191,CASE-000033,CL-00029,CM-009,2025-06-18,Outbound,27,No Answer
CALL-0000192,CASE-000033,CL-00029,CM-009,2025-06-21,Inbound,95,Connected
CALL-0000193,CASE-000034,CL-00030,CM-012,2025-01-05,Inbound,320,Connected
CALL-0000194,CASE-000034,CL-00030,CM-012,2024-11-06,Inbound,50,Wrong Number
CALL-0000195,CASE-000034,CL-00030,CM-012,2024-11-28,Outbound,155,Voicemail
CALL-0000196,CASE-000034,CL-00030,CM-012,2024-11-04,Outbound,165,Connected
CALL-0000197,CASE-000034,CL-00030,CM-012,2024-12-17,Outbound,149,Callback Requested
CALL-0000198,CASE-000035,CL-00031,CM-009,2024-11-13,Inbound,136,Voicemail
CALL-0000199,CASE-000035,CL-00031,CM-009,2025-03-08,Outbound,2,Connected
CALL-0000200,CASE-000035,CL-00031,CM-009,2024-10-11,Outbound,204,Voicemail
CALL-0000201,CASE-000035,CL-00031,CM-009,2024-07-27,Inbound,139,Voicemail
CALL-0000202,CASE-000035,CL-00031,CM-009,2024-10-07,Outbound,52,Voicemail
CALL-0000203,CASE-000035,CL-00031,CM-009,2025-01-19,Outbound,181,Connected
CALL-0000204,CASE-000035,CL-00031,CM-009,2024-12-27,Inbound,229,No Answer
CALL-0000205,CASE-000035,CL-00031,CM-009,2024-08-25,Inbound,240,Connected
CALL-0000206,CASE-000035,CL-00031,CM-009,2024-08-12,Inbound,35,Voicemail
CALL-0000207,CASE-000035,CL-00031,CM-009,2024-10-17,Outbound,231,Connected
CALL-0000208,CASE-000035,CL-00031,CM-009,2024-09-03,Outbound,216,Connected
CALL-0000209,CASE-000035,CL-00031,CM-009,2024-09-25,Outbound,37,Voicemail
CALL-0000210,CASE-000035,CL-00031,CM-009,2024-10-27,Outbound,252,Connected
CALL-0000211,CASE-000035,CL-00031,CM-009,2025-02-24,Outbound,198,No Answer
CALL-0000212,CASE-000035,CL-00031,CM-009,2024-08-30,Outbound,268,Connected
CALL-0000213,CASE-000036,CL-00031,CM-008,2024-08-20,Inbound,55,Voicemail
CALL-0000214,CASE-000036,CL-00031,CM-008,2024-07-26,Outbound,43,Voicemail
CALL-0000215,CASE-000036,CL-00031,CM-008,2024-08-11,Outbound,178,Voicemail
CALL-0000216,CASE-000036,CL-00031,CM-008,2024-09-10,Inbound,4,Connected
CALL-0000217,CASE-000036,CL-00031,CM-008,2025-04-06,Outbound,6,Connected
CALL-0000218,CASE-000036,CL-00031,CM-008,2025-01-19,Inbound,211,Connected
CALL-0000219,CASE-000037,CL-00032,CM-005,2024-02-28,Inbound,245,Voicemail
CALL-0000220,CASE-000037,CL-00032,CM-005,2024-03-04,Outbound,134,No Answer
CALL-0000221,CASE-000037,CL-00032,CM-005,2024-04-12,Outbound,214,Connected
CALL-0000222,CASE-000037,CL-00032,CM-005,2024-08-26,Inbound,3,Connected
CALL-0000223,CASE-000037,CL-00032,CM-005,2024-11-30,Inbound,194,No Answer
CALL-0000224,CASE-000037,CL-00032,CM-005,2024-07-06,Inbound,53,Voicemail
CALL-0000225,CASE-000037,CL-00032,CM-005,2024-04-29,Outbound,163,Connected
CALL-0000226,CASE-000037,CL-00032,CM-005,2025-02-09,Outbound,153,No Answer
CALL-0000227,CASE-000037,CL-00032,CM-005,2024-03-12,Outbound,65,Connected
CALL-0000228,CASE-000038,CL-00033,CM-009,2025-01-14,Outbound,172,No Answer
CALL-0000229,CASE-000038,CL-00033,CM-009,2025-03-15,Inbound,245,Voicemail
CALL-0000230,CASE-000038,CL-00033,CM-009,2024-10-25,Inbound,10,Voicemail
CALL-0000231,CASE-000038,CL-00033,CM-009,2024-08-14,Outbound,255,Connected
CALL-0000232,CASE-000038,CL-00033,CM-009,2025-02-04,Inbound,76,Voicemail
CALL-0000233,CASE-000038,CL-00033,CM-009,2025-03-09,Inbound,100,No Answer
CALL-0000234,CASE-000039,CL-00033,CM-002,2024-07-22,Outbound,61,No Answer
CALL-0000235,CASE-000039,CL-00033,CM-002,2024-11-16,Outbound,74,Connected
CALL-0000236,CASE-000039,CL-00033,CM-002,2024-11-09,Outbound,433,Connected
CALL-0000237,CASE-000039,CL-00033,CM-002,2024-06-11,Outbound,161,Callback Requested
CALL-0000238,CASE-000039,CL-00033,CM-002,2024-11-21,Outbound,209,Connected
CALL-0000239,CASE-000039,CL-00033,CM-002,2024-08-23,Outbound,266,Voicemail
CALL-0000240,CASE-000039,CL-00033,CM-002,2024-08-06,Outbound,109,Voicemail
CALL-0000241,CASE-000039,CL-00033,CM-002,2024-06-16,Outbound,82,Connected
CALL-0000242,CASE-000039,CL-00033,CM-002,2024-06-11,Inbound,62,Connected
CALL-0000243,CASE-000040,CL-00034,CM-005,2025-03-22,Outbound,423,Callback Requested
CALL-0000244,CASE-000040,CL-00034,CM-005,2025-05-15,Inbound,14,Connected
CALL-0000245,CASE-000040,CL-00034,CM-005,2024-08-11,Outbound,182,No Answer
CALL-0000246,CASE-000040,CL-00034,CM-005,2024-10-03,Outbound,94,Connected
CALL-0000247,CASE-000040,CL-00034,CM-005,2024-11-05,Outbound,91,Connected
CALL-0000248,CASE-000041,CL-00035,CM-002,2024-11-30,Outbound,2,Callback Requested
CALL-0000249,CASE-000041,CL-00035,CM-002,2025-03-26,Inbound,129,Wrong Number
CALL-0000250,CASE-000042,CL-00036,CM-007,2024-03-15,Outbound,362,No Answer
CALL-0000251,CASE-000042,CL-00036,CM-007,2024-06-07,Inbound,17,Connected
CALL-0000252,CASE-000042,CL-00036,CM-007,2023-09-18,Inbound,503,Connected
CALL-0000253,CASE-000042,CL-00036,CM-007,2023-10-25,Outbound,88,Callback Requested
CALL-0000254,CASE-000042,CL-00036,CM-007,2024-06-09,Outbound,125,Callback Requested
CALL-0000255,CASE-000043,CL-00037,CM-005,2025-03-08,Inbound,254,Voicemail
CALL-0000256,CASE-000043,CL-00037,CM-005,2025-03-02,Outbound,212,Voicemail
CALL-0000257,CASE-000043,CL-00037,CM-005,2025-03-17,Outbound,93,Connected
CALL-0000258,CASE-000043,CL-00037,CM-005,2025-03-06,Outbound,102,No Answer
CALL-0000259,CASE-000043,CL-00037,CM-005,2025-03-10,Inbound,207,Wrong Number
CALL-0000260,CASE-000045,CL-00039,CM-017,2024-06-21,Outbound,109,Callback Requested
CALL-0000261,CASE-000045,CL-00039,CM-017,2023-12-24,Outbound,1,Voicemail
CALL-0000262,CASE-000045,CL-00039,CM-017,2024-09-01,Outbound,150,Connected
CALL-0000263,CASE-000046,CL-00040,CM-009,2024-11-03,Inbound,15,Connected
CALL-0000264,CASE-000046,CL-00040,CM-009,2025-01-20,Outbound,173,No Answer
CALL-0000265,CASE-000046,CL-00040,CM-009,2025-02-08,Inbound,97,Connected
CALL-0000266,CASE-000046,CL-00040,CM-009,2025-02-18,Outbound,284,No Answer
CALL-0000267,CASE-000046,CL-00040,CM-009,2025-02-19,Outbound,36,Voicemail
CALL-0000268,CASE-000046,CL-00040,CM-009,2024-10-04,Outbound,65,Connected
CALL-0000269,CASE-000047,CL-00041,CM-014,2023-12-24,Inbound,225,Connected
CALL-0000270,CASE-000047,CL-00041,CM-014,2024-10-28,Outbound,25,Voicemail
CALL-0000271,CASE-000047,CL-00041,CM-014,2023-10-27,Outbound,491,Voicemail
CALL-0000272,CASE-000049,CL-00043,CM-001,2024-05-19,Outbound,279,Voicemail
CALL-0000273,CASE-000049,CL-00043,CM-001,2024-04-10,Inbound,369,Connected
CALL-0000274,CASE-000049,CL-00043,CM-001,2024-04-22,Outbound,101,Callback Requested
CALL-0000275,CASE-000049,CL-00043,CM-001,2025-03-17,Outbound,31,Connected
CALL-0000276,CASE-000049,CL-00043,CM-001,2024-05-06,Outbound,109,Voicemail
CALL-0000277,CASE-000050,CL-00044,CM-010,2025-01-08,Outbound,0,Connected
CALL-0000278,CASE-000050,CL-00044,CM-010,2024-11-20,Outbound,30,Voicemail
CALL-0000279,CASE-000050,CL-00044,CM-010,2024-11-27,Inbound,135,Voicemail
CALL-0000280,CASE-000050,CL-00044,CM-010,2024-12-16,Inbound,17,No Answer
CALL-0000281,CASE-000051,CL-00045,CM-008,2025-01-25,Inbound,25,Connected
CALL-0000282,CASE-000051,CL-00045,CM-008,2025-06-11,Inbound,35,Connected
CALL-0000283,CASE-000051,CL-00045,CM-008,2025-03-25,Outbound,316,Wrong Number
CALL-0000284,CASE-000051,CL-00045,CM-008,2025-03-07,Outbound,92,Connected
CALL-0000285,CASE-000051,CL-00045,CM-008,2024-12-18,Inbound,31,Voicemail
CALL-0000286,CASE-000051,CL-00045,CM-008,2025-06-17,Inbound,63,Wrong Number
CALL-0000287,CASE-000051,CL-00045,CM-008,2025-05-25,Inbound,48,Connected
CALL-0000288,CASE-000051,CL-00045,CM-008,2025-05-24,Inbound,130,Callback Requested
CALL-0000289,CASE-000051,CL-00045,CM-008,2024-12-30,Outbound,36,Voicemail
CALL-0000290,CASE-000051,CL-00045,CM-008,2025-04-28,Outbound,3,Connected
CALL-0000291,CASE-000051,CL-00045,CM-008,2025-05-11,Outbound,181,Connected
CALL-0000292,CASE-000051,CL-00045,CM-008,2025-05-08,Inbound,125,Voicemail
CALL-0000293,CASE-000051,CL-00045,CM-008,2025-02-03,Outbound,104,No Answer
CALL-0000294,CASE-000052,CL-00046,CM-008,2025-01-25,Inbound,254,Connected
CALL-0000295,CASE-000052,CL-00046,CM-008,2025-03-09,Inbound,23,No Answer
CALL-0000296,CASE-000052,CL-00046,CM-008,2025-03-21,Outbound,31,Connected
CALL-0000297,CASE-000052,CL-00046,CM-008,2025-02-17,Outbound,148,Voicemail
CALL-0000298,CASE-000052,CL-00046,CM-008,2025-01-13,Outbound,283,Connected
CALL-0000299,CASE-000052,CL-00046,CM-008,2025-02-22,Outbound,288,Callback Requested
CALL-0000300,CASE-000052,CL-00046,CM-008,2025-03-23,Outbound,191,Voicemail
CALL-0000301,CASE-000052,CL-00046,CM-008,2025-02-10,Outbound,470,Connected
CALL-0000302,CASE-000052,CL-00046,CM-008,2025-03-02,Inbound,50,Wrong Number
CALL-0000303,CASE-000053,CL-00047,CM-016,2024-09-06,Outbound,45,No Answer
CALL-0000304,CASE-000053,CL-00047,CM-016,2023-12-19,Outbound,74,Connected
CALL-0000305,CASE-000053,CL-00047,CM-016,2025-03-20,Inbound,202,Connected
CALL-0000306,CASE-000054,CL-00048,CM-007,2025-06-02,Outbound,74,Voicemail
CALL-0000307,CASE-000054,CL-00048,CM-007,2025-05-11,Inbound,109,Connected
CALL-0000308,CASE-000054,CL-00048,CM-007,2025-06-04,Outbound,263,Connected
CALL-0000309,CASE-000055,CL-00049,CM-004,2024-02-29,Outbound,94,Connected
