case_id,client_id,case_type,state,intake_date,date_opened,date_closed,case_status,current_stage,assigned_case_manager,attorney_id,days_in_stage,medical_records_received,missing_documents,communication_count,workup_completed,case_outcome,settlement_amount,workup_completed_date,last_activity_date
CASE-000017,CL-00014,Product Liability,FL,2023-10-19,2023-10-20,,Pending Records,Records Requested,CM-006,ATT-002,73,1,3,6,0,In Progress,,,2025-06-24
CASE-000018,CL-00015,Medical Malpractice,PA,2023-09-18,2023-09-21,,Pending Records,Records Requested,CM-015,ATT-008,36,0,4,11,0,In Progress,,,2025-06-28
CASE-000019,CL-00016,Slip and Fall,MI,2024-09-10,2024-09-11,,In Negotiation,Demand Sent,CM-010,ATT-003,69,1,2,10,1,In Progress,,2024-11-29,2025-06-27
CASE-000020,CL-00017,Mass Tort - Roundup,AZ,2023-11-08,2023-11-10,,In Workup,Records Received,CM-004,ATT-005,17,1,2,5,0,In Progress,,,2025-06-12
CASE-000021,CL-00018,Nursing Home Negligence,CA,2025-05-16,2025-05-19,,Active - Signed,Retainer Signed,CM-002,ATT-008,42,0,2,8,0,In Progress,,,2025-06-28
CASE-000022,CL-00019,Mass Tort - Roundup,NJ,2024-09-06,2024-09-09,,In Negotiation,Demand Sent,CM-010,ATT-012,70,0,2,9,1,In Progress,,2024-12-21,2025-06-27
CASE-000023,CL-00020,Mass Tort - Roundup,CA,2024-04-25,2024-04-26,,In Workup,Records Received,CM-015,ATT-005,65,0,2,3,0,In Progress,,,2025-06-27
CASE-000024,CL-00021,Slip and Fall,MO,2024-09-12,2024-09-15,,Active - Signed,Retainer Signed,CM-010,ATT-009,23,1,1,7,0,In Progress,,,2025-06-30
CASE-000025,CL-00022,Dog Bite,OH,2023-07-19,2023-07-21,,Active - Intake,Intake,CM-018,ATT-009,11,1,0,4,0,In Progress,,,2025-06-14
CASE-000026,CL-00023,Medical Malpractice,TX,2025-06-06,2025-06-06,,In Negotiation,Negotiation,CM-018,ATT-001,23,1,0,14,1,In Progress,,,2025-06-29
CASE-000027,CL-00024,Motor Vehicle Accident,CA,2024-07-12,2024-07-17,2025-06-17,Settled,Resolved,CM-003,ATT-004,67,1,0,18,1,Settled,54436.47,2024-09-03,2025-06-17
CASE-000028,CL-00025,Slip and Fall,CA,2025-01-22,2025-01-24,,In Negotiation,Demand Sent,CM-011,ATT-007,60,0,2,11,1,In Progress,,2025-05-09,2025-06-15
CASE-000029,CL-00026,Motor Vehicle Accident,TX,2023-09-02,2023-09-06,,Active - Signed,Retainer Signed,CM-008,ATT-001,37,0,3,16,0,In Progress,,,2025-06-24
CASE-000030,CL-00027,Premises Liability,CA,2024-07-14,2024-07-19,2025-04-22,Dropped,Demand Sent,CM-016,ATT-005,51,1,2,11,1,Dropped,,2024-10-07,2025-04-22
CASE-000031,CL-00028,Motor Vehicle Accident,CA,2024-07-16,2024-07-21,,In Workup,Workup Complete,CM-018,ATT-012,53,1,2,9,1,In Progress,,2024-10-07,2025-06-26
CASE-000032,CL-00029,Premises Liability,GA,2025-05-24,2025-05-28,,In Negotiation,Negotiation,CM-006,ATT-009,50,1,1,9,1,In Progress,,,2025-06-10
CASE-000033,CL-00029,Dog Bite,GA,2025-05-24,2025-05-24,,In Workup,Workup Complete,CM-009,ATT-012,29,0,1,6,1,In Progress,,,2025-06-08
CASE-000034,CL-00030,Product Liability,FL,2024-08-31,2024-09-03,,In Workup,Records Received,CM-012,ATT-011,45,1,2,6,0,In Progress,,,2025-06-16
CASE-000035,CL-00031,Premises Liability,TX,2024-07-08,2024-07-10,2025-04-14,Dropped,Demand Sent,CM-009,ATT-010,63,1,4,14,1,Dropped,,2024-10-25,2025-04-14
CASE-000036,CL-00031,Motor Vehicle Accident,TX,2024-07-08,2024-07-10,,In Negotiation,Demand Sent,CM-008,ATT-011,57,0,0,9,1,In Progress,,2024-09-27,2025-06-23
CASE-000037,CL-00032,Nursing Home Negligence,CA,2024-02-05,2024-02-06,,In Negotiation,Demand Sent,CM-005,ATT-006,80,0,1,7,1,In Progress,,2024-05-05,2025-06-25
CASE-000038,CL-00033,Motor Vehicle Accident,CA,2024-04-11,2024-04-14,,In Negotiation,Negotiation,CM-009,ATT-006,71,1,1,13,1,In Progress,,2024-06-23,2025-05-20
CASE-000039,CL-00033,Mass Tort - Roundup,CA,2024-04-11,2024-04-15,2025-01-07,Dropped,Workup Complete,CM-002,ATT-012,13,1,0,6,1,Dropped,,2024-06-05,2025-01-07
CASE-000040,CL-00034,Motor Vehicle Accident,OH,2024-07-31,2024-08-02,,In Negotiation,Negotiation,CM-005,ATT-002,69,1,1,6,1,In Progress,,2024-10-04,2025-06-20
CASE-000041,CL-00035,Medical Malpractice,CA,2024-06-20,2024-06-22,,In Negotiation,Negotiation,CM-002,ATT-007,66,1,2,5,1,In Progress,,2024-09-04,2025-06-27
CASE-000042,CL-00036,Motor Vehicle Accident,CA,2023-07-18,2023-07-19,,In Workup,Workup Complete,CM-007,ATT-001,72,0,1,12,1,In Progress,,2023-10-21,2025-06-10
CASE-000043,CL-00037,Mass Tort - Camp Lejeune,CA,2025-02-28,2025-03-01,,Active - Signed,Retainer Signed,CM-005,ATT-008,8,0,0,7,0,In Progress,,,2025-05-19
CASE-000044,CL-00038,Motor Vehicle Accident,IL,2025-04-25,2025-04-28,,Active - Intake,Intake,CM-015,ATT-012,37,0,1,3,0,In Progress,,,2025-06-13
CASE-000045,CL-00039,Motor Vehicle Accident,TX,2023-10-15,2023-10-15,2025-06-24,Settled,Resolved,CM-017,ATT-007,22,1,2,10,1,Settled,36977.62,2024-01-02,2025-06-17
CASE-000046,CL-00040,Wrongful Death,AZ,2024-08-20,2024-08-21,,In Workup,Workup Complete,CM-009,ATT-007,75,1,0,14,1,In Progress,,2024-10-19,2025-06-30
CASE-000047,CL-00041,Medical Malpractice,TX,2023-09-21,2023-09-24,,In Negotiation,Demand Sent,CM-014,ATT-003,30,1,1,6,1,In Progress,,2023-11-26,2025-06-23
CASE-000048,CL-00042,Motor Vehicle Accident,FL,2024-11-01,2024-11-04,2025-03-14,Dropped,Workup Complete,CM-007,ATT-007,39,1,0,2,1,Dropped,,2024-12-21,2025-03-14
CASE-000049,CL-00043,Slip and Fall,NJ,2024-02-20,2024-02-20,,In Negotiation,Demand Sent,CM-001,ATT-005,65,1,0,10,1,In Progress,,2024-04-15,2025-05-26
CASE-000050,CL-00044,Wrongful Death,IL,2024-10-24,2024-10-25,,Active - Signed,Retainer Signed,CM-010,ATT-001,40,1,3,5,0,In Progress,,,2025-06-17
CASE-000051,CL-00045,Premises Liability,FL,2024-12-09,2024-12-12,2025-06-30,Settled,Resolved,CM-008,ATT-010,23,1,3,13,1,Settled,46187.59,2025-03-16,2025-06-05
CASE-000052,CL-00046,Mass Tort - Roundup,NJ,2025-01-10,2025-01-12,,Pending Records,Records Requested,CM-008,ATT-004,44,1,2,9,0,In Progress,,,2025-06-11
CASE-000053,CL-00047,Medical Malpractice,MI,2023-09-21,2023-09-24,,In Negotiation,Negotiation,CM-016,ATT-006,42,1,2,7,1,In Progress,,2023-12-09,2025-06-28
CASE-000054,CL-00048,Motor Vehicle Accident,CA,2025-05-10,2025-05-10,,Active - Intake,Intake,CM-007,ATT-006,47,0,2,6,0,In Progress,,,2025-06-14
CASE-000055,CL-00049,Slip and Fall,TX,2023-12-31,2024-01-03,,Active - Intake,Intake,CM-004,ATT-008,8,1,2,8,0,In Progress,,,2025-06-30
CASE-000056,CL-00050,Motor Vehicle Accident,MS,2023-07-30,2023-08-01,,In Negotiation,Negotiation,CM-005,ATT-005,44,1,2,6,1,In Progress,,2023-10-15,2025-02-18
CASE-000057,CL-00051,Slip and Fall,NY,2024-08-21,2024-08-25,,Pending Records,Records Requested,CM-009,ATT-010,30,1,4,9,0,In Progress,,,2025-05-31
CASE-000058,CL-00052,Product Liability,CA,2024-05-11,2024-05-11,2025-06-30,Settled,Resolved,CM-016,ATT-008,24,1,0,14,1,Settled,47960.3,2024-07-09,2025-06-29
CASE-000059,CL-00053,Mass Tort - Camp Lejeune,IL,2025-03-03,2025-03-04,,In Negotiation,Negotiation,CM-014,ATT-009,55,1,1,9,1,In Progress,,2025-05-09,2025-06-22
CASE-000060,CL-00054,Motor Vehicle Accident,NC,2025-02-13,2025-02-13,,In Negotiation,Negotiation,CM-006,ATT-011,37,1,3,7,1,In Progress,,2025-05-12,2025-06-09
CASE-000061,CL-00055,Dog Bite,OH,2024-03-28,2024-03-29,2025-06-30,Settled,Resolved,CM-003,ATT-009,59,1,1,9,1,Settled,96936.03,2024-06-03,2025-05-29
CASE-000062,CL-00056,Dog Bite,FL,2025-06-03,2025-06-07,2025-06-30,Closed-Lost,Resolved,CM-016,ATT-009,46,1,3,8,1,Dismissed,,,2025-05-14
CASE-000063,CL-00057,Workers Compensation,NY,2024-03-01,2024-03-03,,Active - Intake,Intake,CM-016,ATT-007,36,1,1,4,0,In Progress,,,2025-06-15
CASE-000064,CL-00058,Dog Bite,LA,2024-07-28,2024-07-30,,Active - Intake,Intake,CM-012,ATT-008,4,1,3,13,0,In Progress,,,2025-06-28
CASE-000065,CL-00059,Motor Vehicle Accident,TX,2024-01-25,2024-01-25,,In Workup,Records Received,CM-001,ATT-003,15,0,6,6,0,In Progress,,,2025-06-14
CASE-000066,CL-00060,Nursing Home Negligence,TX,2025-05-23,2025-05-27,,Active - Signed,Retainer Signed,CM-017,ATT-008,12,0,1,11,0,In Progress,,,2025-06-30
CASE-000067,CL-00060,Motor Vehicle Accident,TX,2025-05-23,2025-05-26,,In Workup,Workup Complete,CM-009,ATT-010,60,0,1,6,1,In Progress,,,2025-06-27
CASE-000068,CL-00061,Motor Vehicle Accident,GA,2023-11-03,2023-11-08,,In Workup,Workup Complete,CM-008,ATT-012,29,1,1,9,1,In Progress,,2024-01-13,2025-06-29
CASE-000069,CL-00062,Workers Compensation,VA,2023-08-05,2023-08-09,,Active - Signed,Retainer Signed,CM-009,ATT-007,64,0,2,14,0,In Progress,,,2025-06-04
CASE-000070,CL-00062,Mass Tort - Camp Lejeune,VA,2023-08-05,2023-08-06,,In Negotiation,Demand Sent,CM-016,ATT-004,71,1,1,12,1,In Progress,,2023-10-14,2025-05-19
CASE-000071,CL-00063,Motor Vehicle Accident,OH,2024-06-18,2024-06-18,,Pending Records,Records Requested,CM-006,ATT-002,73,1,3,4,0,In Progress,,,2025-06-22
CASE-000072,CL-00064,Workers Compensation,CA,2025-06-26,2025-06-26,,Pending Records,Records Requested,CM-015,ATT-010,65,1,2,7,0,In Progress,,,2025-06-09
CASE-000073,CL-00064,Motor Vehicle Accident,CA,2025-06-26,2025-06-27,,Active - Signed,Retainer Signed,CM-006,ATT-002,10,1,0,5,0,In Progress,,,2025-06-09
CASE-000074,CL-00065,Mass Tort - Talcum,CA,2025-04-22,2025-04-25,,In Workup,Records Received,CM-005,ATT-012,25,1,5,1,0,In Progress,,,2025-05-03
CASE-000075,CL-00066,Mass Tort - Roundup,MS,2024-12-25,2024-12-26,,Pending Records,Records Requested,CM-009,ATT-007,69,0,2,8,0,In Progress,,,2025-06-20
CASE-000076,CL-00067,Motor Vehicle Accident,PA,2025-04-21,2025-04-24,2025-05-27,Dropped,Workup Complete,CM-013,ATT-003,68,1,3,9,1,Dropped,,,2025-05-27
CASE-000077,CL-00067,Product Liability,PA,2025-04-21,2025-04-25,,In Negotiation,Demand Sent,CM-014,ATT-003,63,1,1,6,1,In Progress,,,2025-06-28
CASE-000078,CL-00068,Premises Liability,AZ,2025-04-23,2025-04-25,,In Workup,Records Received,CM-004,ATT-003,63,0,1,10,0,In Progress,,,2025-06-26
CASE-000079,CL-00069,Mass Tort - Roundup,PA,2024-07-30,2024-07-31,,Active - Signed,Retainer Signed,CM-013,ATT-008,29,0,1,17,0,In Progress,,,2025-06-30
CASE-000080,CL-00070,Nursing Home Negligence,MO,2024-03-27,2024-03-30,,In Negotiation,Negotiation,CM-001,ATT-002,25,1,1,10,1,In Progress,,2024-06-05,2025-06-28
CASE-000081,CL-00071,Wrongful Death,IL,2025-01-13,2025-01-18,,In Workup,Records Received,CM-015,ATT-007,17,0,0,6,0,In Progress,,,2025-05-30
CASE-000082,CL-00072,Mass Tort - Roundup,NJ,2024-10-25,2024-10-27,,In Negotiation,Demand Sent,CM-010,ATT-004,68,1,0,9,1,In Progress,,2024-12-20,2025-05-18
CASE-000083,CL-00073,Mass Tort - Talcum,NY,2024-05-13,2024-05-18,2025-06-30,Settled,Resolved,CM-009,ATT-010,44,1,1,12,1,Settled,72353.68,2024-07-26,2025-05-31
CASE-000084,CL-00074,Motor Vehicle Accident,FL,2023-09-11,2023-09-12,,In Negotiation,Demand Sent,CM-006,ATT-004,43,1,3,8,1,In Progress,,2023-12-10,2025-06-16
CASE-000085,CL-00075,Wrongful Death,NJ,2024-12-24,2024-12-27,,In Negotiation,Demand Sent,CM-001,ATT-009,68,0,0,6,1,In Progress,,2025-03-13,2025-05-25
CASE-000086,CL-00076,Motor Vehicle Accident,NJ,2024-02-01,2024-02-05,,Active - Signed,Retainer Signed,CM-017,ATT-008,66,0,1,5,0,In Progress,,,2025-06-17
CASE-000087,CL-00077,Medical Malpractice,FL,2025-05-23,2025-05-27,,In Workup,Records Received,CM-013,ATT-007,62,0,3,6,0,In Progress,,,2025-06-30
CASE-000088,CL-00077,Mass Tort - Camp Lejeune,FL,2025-05-23,2025-05-26,,In Workup,Records Received,CM-014,ATT-008,11,1,3,14,0,In Progress,,,2025-06-12
CASE-000089,CL-00078,Mass Tort - Roundup,OH,2024-01-10,2024-01-11,,Active - Intake,Intake,CM-004,ATT-005,52,1,2,10,0,In Progress,,,2025-06-28
CASE-000090,CL-00079,Nursing Home Negligence,CA,2023-10-02,2023-10-04,,In Negotiation,Demand Sent,CM-018,ATT-012,27,1,1,7,1,In Progress,,2023-12-07,2025-06-04
CASE-000091,CL-00080,Mass Tort - Camp Lejeune,NY,2025-03-04,2025-03-06,,Active - Intake,Intake,CM-008,ATT-011,11,0,2,9,0,In Progress,,,2025-06-26
CASE-000092,CL-00081,Mass Tort - Camp Lejeune,NY,2023-10-25,2023-10-29,,In Workup,Workup Complete,CM-006,ATT-002,34,1,0,12,1,In Progress,,2023-12-25,2025-06-29
CASE-000093,CL-00082,Motor Vehicle Accident,CA,2023-11-15,2023-11-15,,In Negotiation,Demand Sent,CM-002,ATT-002,40,1,0,9,1,In Progress,,2024-01-08,2025-06-13
CASE-000094,CL-00083,Motor Vehicle Accident,CA,2024-09-17,2024-09-18,,In Negotiation,Negotiation,CM-008,ATT-007,51,1,1,10,1,In Progress,,2024-11-24,2025-05-26
CASE-000095,CL-00084,Motor Vehicle Accident,NJ,2025-04-09,2025-04-14,,In Workup,Records Received,CM-002,ATT-005,8,1,0,12,0,In Progress,,,2025-05-20
CASE-000096,CL-00085,Mass Tort - Roundup,CA,2023-11-30,2023-12-05,,In Workup,Workup Complete,CM-010,ATT-003,56,1,0,11,1,In Progress,,2024-01-30,2025-05-12
CASE-000097,CL-00086,Motor Vehicle Accident,FL,2024-03-21,2024-03-24,2025-06-16,Settled,Resolved,CM-017,ATT-010,51,1,0,12,1,Settled,35292.25,2024-05-20,2025-06-16
CASE-000098,CL-00087,Product Liability,FL,2025-01-17,2025-01-20,2025-06-30,Settled,Resolved,CM-006,ATT-002,74,1,3,7,1,Settled,58669.42,2025-04-18,2025-06-19
CASE-000099,CL-00087,Dog Bite,FL,2025-01-17,2025-01-21,2025-06-25,Dropped,Resolved,CM-002,ATT-005,27,1,1,8,1,Dropped,,2025-03-27,2025-06-25
CASE-000100,CL-00088,Mass Tort - Roundup,NY,2025-06-14,2025-06-14,,In Negotiation,Negotiation,CM-007,ATT-004,34,0,1,7,1,In Progress,,,2025-06-07
CASE-000101,CL-00089,Nursing Home Negligence,GA,2024-07-21,2024-07-22,,Active - Intake,Intake,CM-011,ATT-003,22,0,1,4,0,In Progress,,,2025-06-23
CASE-000102,CL-00090,Workers Compensation,PA,2023-10-18,2023-10-22,,In Negotiation,Demand Sent,CM-018,ATT-009,60,1,1,12,1,In Progress,,2023-12-30,2025-05-17
CASE-000103,CL-00091,Premises Liability,PA,2023-07-12,2023-07-16,2025-06-18,Closed-Lost,Resolved,CM-004,ATT-009,37,1,0,4,1,Dismissed,,2023-09-03,2025-06-18
CASE-000104,CL-00092,Nursing Home Negligence,GA,2023-12-30,2024-01-03,,Pending Records,Records Requested,CM-010,ATT-010,26,0,5,7,0,In Progress,,,2025-06-26
CASE-000105,CL-00093,Premises Liability,CA,2023-10-09,2023-10-14,,Pending Records,Records Requested,CM-012,ATT-005,72,1,3,8,0,In Progress,,,2025-05-14
CASE-000106,CL-00094,Mass Tort - Roundup,PA,2024-11-05,2024-11-10,,Active - Signed,Retainer Signed,CM-004,ATT-005,3,1,1,10,0,In Progress,,,2025-06-29
CASE-000107,CL-00095,Motor Vehicle Accident,MI,2023-10-01,2023-10-04,,In Workup,Workup Complete,CM-013,ATT-001,34,1,2,6,1,In Progress,,2023-12-18,2025-06-05
CASE-000108,CL-00096,Workers Compensation,PA,2024-07-24,2024-07-27,2025-06-30,Settled,Resolved,CM-009,ATT-003,34,1,2,6,1,Settled,40957.62,2024-10-10,2025-06-18
CASE-000109,CL-00097,Premises Liability,CA,2024-11-16,2024-11-16,2025-06-13,Settled,Resolved,CM-018,ATT-009,38,0,0,13,1,Settled,84961.5,2025-02-07,2025-06-13
CASE-000110,CL-00098,Slip and Fall,CA,2024-09-06,2024-09-09,,In Workup,Workup Complete,CM-005,ATT-001,43,1,0,7,1,In Progress,,2024-10-31,2025-06-07
CASE-000111,CL-00099,Dog Bite,PA,2023-12-03,2023-12-04,2025-06-30,Settled,Resolved,CM-007,ATT-012,57,0,1,3,1,Settled,15469.76,2024-02-27,2025-05-29
CASE-000112,CL-00100,Motor Vehicle Accident,NJ,2025-02-09,2025-02-14,2025-06-19,Settled,Resolved,CM-009,ATT-012,51,1,0,19,1,Settled,14070.94,2025-04-04,2025-06-14
CASE-000113,CL-00101,Dog Bite,FL,2024-12-01,2024-12-02,,Active - Intake,Intake,CM-015,ATT-004,36,1,1,8,0,In Progress,,,2025-06-11
CASE-000114,CL-00102,Mass Tort - Talcum,NJ,2024-12-18,2024-12-23,,In Negotiation,Demand Sent,CM-009,ATT-001,67,0,3,22,1,In Progress,,2025-04-15,2025-06-15
CASE-000115,CL-00103,Slip and Fall,NC,2023-10-08,2023-10-13,,In Negotiation,Negotiation,CM-004,ATT-003,33,1,2,8,1,In Progress,,2023-12-29,2025-06-30
CASE-000116,CL-00104,Mass Tort - Camp Lejeune,OH,2023-10-03,2023-10-06,,Pending Records,Records Requested,CM-001,ATT-007,54,0,1,10,0,In Progress,,,2025-05-04
CASE-000117,CL-00105,Medical Malpractice,CA,2025-05-17,2025-05-19,,In Workup,Records Received,CM-004,ATT-011,37,1,2,9,0,In Progress,,,2025-05-16
CASE-000118,CL-00106,Motor Vehicle Accident,LA,2024-05-28,2024-06-02,2025-06-30,Settled,Resolved,CM-001,ATT-003,26,0,7,6,1,Settled,25675.08,2024-11-09,2025-06-03
CASE-000119,CL-00107,Wrongful Death,MI,2024-03-12,2024-03-13,2025-06-30,Settled,Resolved,CM-009,ATT-001,68,1,1,12,1,Settled,331761.84,2024-05-21,2025-05-02
CASE-000120,CL-00108,Mass Tort - Camp Lejeune,CA,2024-07-15,2024-07-20,2025-06-30,Settled,Resolved,CM-013,ATT-012,73,1,2,12,1,Settled,-236275.04,2024-10-09,2025-06-23
CASE-000121,CL-00108,Motor Vehicle Accident,CA,2024-07-15,2024-07-19,,In Negotiation,Negotiation,CM-006,ATT-008,48,1,1,7,1,In Progress,,2024-09-21,2025-05-14
CASE-000122,CL-00109,Motor Vehicle Accident,TX,2024-10-26,2024-10-29,,Active - Signed,Retainer Signed,CM-001,ATT-010,38,0,2,8,0,In Progress,,,2025-04-25
CASE-000123,CL-00110,Nursing Home Negligence,FL,2025-06-04,2025-06-05,,Pending Records,Records Requested,CM-004,ATT-005,5,1,3,8,0,In Progress,,,2025-06-10
CASE-000124,CL-00110,Motor Vehicle Accident,FL,2025-06-04,2025-06-06,,In Negotiation,Demand Sent,CM-002,ATT-007,17,1,2,13,1,In Progress,,,2025-05-10
CASE-000125,CL-00111,Medical Malpractice,PA,2024-02-26,2024-03-01,,In Workup,Workup Complete,CM-016,ATT-009,29,1,3,11,1,In Progress,,2024-06-01,2025-04-29
CASE-000126,CL-00112,Motor Vehicle Accident,PA,2025-05-16,2025-05-20,,In Workup,Workup Complete,CM-014,ATT-001,64,1,2,13,1,In Progress,,,2025-06-17
CASE-000127,CL-00113,Mass Tort - Talcum,MI,2023-07-21,2023-07-23,,In Negotiation,Demand Sent,CM-014,ATT-008,59,0,2,7,1,In Progress,,2023-11-01,2025-06-06
CASE-000128,CL-00114,Motor Vehicle Accident,NC,2024-08-21,2024-08-21,,In Workup,Workup Complete,CM-008,ATT-009,14,1,1,11,1,In Progress,,2024-10-28,2025-05-17
CASE-000129,CL-00115,Slip and Fall,NY,2024-10-08,2024-10-09,,In Workup,Workup Complete,CM-002,ATT-011,30,0,1,13,1,In Progress,,2025-01-12,2025-06-24
CASE-000130,CL-00116,Motor Vehicle Accident,MS,2023-09-19,2023-09-19,,Pending Records,Records Requested,CM-007,ATT-010,73,1,3,7,0,In Progress,,,2025-06-25
CASE-000131,CL-00117,Wrongful Death,MO,2023-10-15,2023-10-17,2025-06-22,Settled,Resolved,CM-006,ATT-005,42,1,1,7,1,Settled,469791.53,2023-12-20,2025-06-21
CASE-000132,CL-00117,Nursing Home Negligence,MO,2023-10-15,2023-10-17,,In Negotiation,Demand Sent,CM-011,ATT-011,44,1,0,8,1,In Progress,,2023-12-09,2025-06-14
CASE-000133,CL-00118,Mass Tort - Roundup,OH,2024-06-09,2024-06-14,,In Negotiation,Negotiation,CM-008,ATT-010,43,0,0,7,1,In Progress,,2024-08-30,2025-06-11
CASE-000134,CL-00119,Workers Compensation,TX,2025-06-11,2025-06-15,,In Negotiation,Demand Sent,CM-011,ATT-010,48,1,0,13,1,In Progress,,,2025-05-28
CASE-000135,CL-00120,Nursing Home Negligence,TX,2024-09-15,2024-09-19,,Active - Intake,Intake,CM-009,ATT-002,19,0,2,8,0,In Progress,,,2025-06-26
CASE-000136,CL-00121,Mass Tort - Roundup,NJ,2025-05-21,2025-05-25,,Active - Signed,Retainer Signed,CM-011,ATT-010,5,1,2,12,0,In Progress,,,2025-06-29
CASE-000137,CL-00122,Workers Compensation,FL,2025-02-09,2025-02-13,,In Workup,Workup Complete,CM-011,ATT-007,58,1,2,11,1,In Progress,,2025-05-04,2025-06-07
CASE-000138,CL-00122,Mass Tort - Roundup,FL,2025-02-09,2025-02-11,,Active - Signed,Retainer Signed,CM-012,ATT-005,15,1,4,7,0,In Progress,,,2025-06-30
CASE-000139,CL-00123,Motor Vehicle Accident,CA,2024-07-05,2024-07-07,,In Negotiation,Demand Sent,CM-008,ATT-012,25,0,2,10,1,In Progress,,2024-10-19,2025-06-23
CASE-000140,CL-00124,Motor Vehicle Accident,GA,2025-01-24,2025-01-28,,In Negotiation,Negotiation,CM-009,ATT-009,9,1,3,19,1,In Progress,,2025-04-23,2025-06-21
CASE-000141,CL-00124,Workers Compensation,GA,2025-01-24,2025-01-28,,In Negotiation,Demand Sent,CM-018,ATT-004,37,1,0,12,1,In Progress,,2025-03-26,2025-06-22
CASE-000142,CL-00125,Mass Tort - Camp Lejeune,TX,2023-07-15,2023-07-20,2025-04-15,Dropped,Negotiation,CM-016,ATT-009,72,1,1,14,1,Dropped,,2023-09-29,2025-04-15
CASE-000143,CL-00126,Dog Bite,NC,2023-09-22,2023-09-26,,In Workup,Workup Complete,CM-011,ATT-010,53,1,1,12,1,In Progress,,2023-12-04,2025-06-18
CASE-000144,CL-00127,Premises Liability,FL,2025-03-03,2025-03-08,2025-04-30,Dropped,Records Requested,CM-005,ATT-003,37,0,0,12,0,Dropped,,,2025-04-30
CASE-000145,CL-00128,Medical Malpractice,CA,2025-02-03,2025-02-03,,In Negotiation,Negotiation,CM-015,ATT-011,15,1,2,12,1,In Progress,,2025-04-25,2025-04-07
CASE-000146,CL-00128,Motor Vehicle Accident,CA,2025-02-03,2025-02-03,,In Workup,Workup Complete,CM-002,ATT-009,51,1,0,8,1,In Progress,,2025-03-28,2025-06-03
CASE-000147,CL-00129,Motor Vehicle Accident,FL,2024-01-02,2024-01-03,,In Workup,Workup Complete,CM-016,ATT-008,20,1,1,10,1,In Progress,,2024-03-10,2025-06-29
