activity_id,case_id,case_manager_id,activity_type,activity_date,duration_minutes
ACT-0000116,CASE-000020,CM-004,Email,2024-01-11,2
ACT-0000117,CASE-000020,CM-004,Internal Note,2024-04-15,26
ACT-0000118,CASE-000021,CM-002,Demand Drafting,2025-05-20,19
ACT-0000119,CASE-000021,CM-002,Internal Note,2025-05-19,26
ACT-0000120,CASE-000021,CM-002,Document Request,2025-05-20,5
ACT-0000121,CASE-000021,CM-002,Email,2025-05-20,10
ACT-0000122,CASE-000021,CM-002,Phone Call,2025-05-19,28
ACT-0000123,CASE-000022,CM-010,Phone Call,2025-02-26,17
ACT-0000124,CASE-000022,CM-010,Client Meeting,2025-04-07,9
ACT-0000125,CASE-000022,CM-010,Internal Note,2024-12-24,25
ACT-0000126,CASE-000022,CM-010,Document Request,2025-02-16,15
ACT-0000127,CASE-000022,CM-010,SMS,2025-01-18,33
ACT-0000128,CASE-000022,CM-010,SMS,2025-04-28,6
ACT-0000129,CASE-000022,CM-010,Email,2024-09-19,27
ACT-0000130,CASE-000023,CM-015,Demand Drafting,2024-06-13,24
ACT-0000131,CASE-000024,CM-010,Email,2024-11-18,16
ACT-0000132,CASE-000024,CM-010,Phone Call,2024-09-30,7
ACT-0000133,CASE-000024,CM-010,Demand Drafting,2024-11-11,26
ACT-0000134,CASE-000024,CM-010,Email,2024-10-20,13
ACT-0000135,CASE-000024,CM-010,Negotiation Call,2024-10-04,27
ACT-0000136,CASE-000025,CM-018,Internal Note,2023-07-28,26
ACT-0000137,CASE-000025,CM-018,SMS,2023-08-28,1
ACT-0000138,CASE-000025,CM-018,Negotiation Call,2023-10-10,19
ACT-0000139,CASE-000026,CM-018,Internal Note,2025-06-24,37
ACT-0000140,CASE-000026,CM-018,Status Update,2025-06-09,8
ACT-0000141,CASE-000026,CM-018,Client Meeting,2025-06-29,27
ACT-0000142,CASE-000026,CM-018,Negotiation Call,2025-06-20,14
ACT-0000143,CASE-000026,CM-018,Document Request,2025-06-29,29
ACT-0000144,CASE-000026,CM-018,Internal Note,2025-06-06,20
ACT-0000145,CASE-000026,CM-018,Email,2025-06-12,5
ACT-0000146,CASE-000026,CM-018,Demand Drafting,2025-06-12,14
ACT-0000147,CASE-000026,CM-018,Phone Call,2025-06-11,37
ACT-0000148,CASE-000026,CM-018,Status Update,2025-06-14,17
ACT-0000149,CASE-000026,CM-018,Status Update,2025-06-15,10
ACT-0000150,CASE-000026,CM-018,Demand Drafting,2025-06-25,10
ACT-0000151,CASE-000026,CM-018,Negotiation Call,2025-06-26,15
ACT-0000152,CASE-000027,CM-003,Negotiation Call,2025-03-11,8
ACT-0000153,CASE-000027,CM-003,Medical Record Review,2024-08-13,13
ACT-0000154,CASE-000027,CM-003,Demand Drafting,2025-04-19,4
ACT-0000155,CASE-000027,CM-003,Email,2025-05-25,8
ACT-0000156,CASE-000027,CM-003,Negotiation Call,2024-12-01,30
ACT-0000157,CASE-000027,CM-003,SMS,2025-03-10,6
ACT-0000158,CASE-000027,CM-003,SMS,2025-05-21,25
ACT-0000159,CASE-000027,CM-003,Phone Call,2024-12-05,13
ACT-0000160,CASE-000027,CM-003,Status Update,2024-08-21,21
ACT-0000161,CASE-000027,CM-003,SMS,2024-08-13,1
ACT-0000162,CASE-000028,CM-011,Phone Call,2025-01-28,1
ACT-0000163,CASE-000028,CM-011,Client Meeting,2025-02-26,1
ACT-0000164,CASE-000028,CM-011,Phone Call,2025-05-06,30
ACT-0000165,CASE-000028,CM-011,Document Request,2025-04-01,6
ACT-0000166,CASE-000028,CM-011,Medical Record Review,2025-04-04,30
ACT-0000167,CASE-000028,CM-011,SMS,2025-04-13,14
ACT-0000168,CASE-000029,CM-008,Status Update,2024-02-22,16
ACT-0000169,CASE-000029,CM-008,Demand Drafting,2023-11-06,8
ACT-0000170,CASE-000029,CM-008,Status Update,2023-12-09,15
ACT-0000171,CASE-000029,CM-008,SMS,2024-02-24,19
ACT-0000172,CASE-000029,CM-008,Email,2024-01-01,22
ACT-0000173,CASE-000029,CM-008,Client Meeting,2024-01-17,17
ACT-0000174,CASE-000029,CM-008,Status Update,2023-12-26,17
ACT-0000175,CASE-000029,CM-008,Status Update,2023-12-12,21
ACT-0000176,CASE-000029,CM-008,Demand Drafting,2024-01-13,19
ACT-0000177,CASE-000030,CM-016,Document Request,2024-11-27,22
ACT-0000178,CASE-000030,CM-016,Phone Call,2024-10-25,24
ACT-0000179,CASE-000030,CM-016,Status Update,2024-11-28,7
ACT-0000180,CASE-000030,CM-016,SMS,2025-04-03,8
ACT-0000181,CASE-000030,CM-016,Client Meeting,2025-01-21,38
ACT-0000182,CASE-000030,CM-016,Internal Note,2024-10-07,18
ACT-0000183,CASE-000030,CM-016,Status Update,2025-01-24,24
ACT-0000184,CASE-000031,CM-018,Phone Call,2024-08-20,31
ACT-0000185,CASE-000031,CM-018,Medical Record Review,2025-01-07,29
ACT-0000186,CASE-000031,CM-018,Email,2024-08-20,20
ACT-0000187,CASE-000031,CM-018,Client Meeting,2024-10-10,6
ACT-0000188,CASE-000031,CM-018,Internal Note,2024-07-30,20
ACT-0000189,CASE-000031,CM-018,Medical Record Review,2024-10-06,9
ACT-0000190,CASE-000031,CM-018,Client Meeting,2025-01-22,21
ACT-0000191,CASE-000031,CM-018,Negotiation Call,2024-12-24,29
ACT-0000192,CASE-000032,CM-006,SMS,2025-06-04,1
ACT-0000193,CASE-000032,CM-006,Internal Note,2025-06-29,12
ACT-0000194,CASE-000032,CM-006,Client Meeting,2025-06-30,19
ACT-0000195,CASE-000032,CM-006,Status Update,2025-06-23,32
ACT-0000196,CASE-000032,CM-006,Demand Drafting,2025-06-15,25
ACT-0000197,CASE-000032,CM-006,Internal Note,2025-06-20,1
ACT-0000198,CASE-000032,CM-006,Status Update,2025-06-27,9
ACT-0000199,CASE-000033,CM-009,Phone Call,2025-06-30,36
ACT-0000200,CASE-000033,CM-009,Internal Note,2025-05-30,16
ACT-0000201,CASE-000033,CM-009,SMS,2025-06-17,27
ACT-0000202,CASE-000033,CM-009,Negotiation Call,2025-06-05,11
ACT-0000203,CASE-000033,CM-009,Email,2025-05-30,21
ACT-0000204,CASE-000034,CM-012,Demand Drafting,2025-02-06,19
ACT-0000205,CASE-000034,CM-012,Document Request,2024-10-05,8
ACT-0000206,CASE-000034,CM-012,Demand Drafting,2024-11-13,38
ACT-0000207,CASE-000035,CM-009,Medical Record Review,2024-11-28,12
ACT-0000208,CASE-000035,CM-009,SMS,2024-09-14,1
ACT-0000209,CASE-000035,CM-009,Document Request,2024-12-28,12
ACT-0000210,CASE-000035,CM-009,SMS,2024-10-04,1
ACT-0000211,CASE-000035,CM-009,Negotiation Call,2024-11-09,13
ACT-0000212,CASE-000035,CM-009,Client Meeting,2024-10-05,25
ACT-0000213,CASE-000035,CM-009,Demand Drafting,2024-10-17,20
ACT-0000214,CASE-000035,CM-009,Medical Record Review,2025-01-24,13
ACT-0000215,CASE-000036,CM-008,Negotiation Call,2025-03-11,23
ACT-0000216,CASE-000036,CM-008,Demand Drafting,2024-12-05,13
ACT-0000217,CASE-000036,CM-008,Demand Drafting,2024-11-11,20
ACT-0000218,CASE-000036,CM-008,Email,2024-08-27,13
ACT-0000219,CASE-000036,CM-008,Phone Call,2025-04-13,20
ACT-0000220,CASE-000037,CM-005,Internal Note,2025-02-13,17
ACT-0000221,CASE-000037,CM-005,Internal Note,2024-06-26,8
ACT-0000222,CASE-000037,CM-005,Phone Call,2025-02-12,12
ACT-0000223,CASE-000037,CM-005,Status Update,2024-11-19,11
ACT-0000224,CASE-000038,CM-009,Email,2025-05-10,17
ACT-0000225,CASE-000038,CM-009,Phone Call,2024-07-08,18
ACT-0000226,CASE-000038,CM-009,Document Request,2024-11-18,29
ACT-0000227,CASE-000038,CM-009,Phone Call,2024-06-20,21
ACT-0000228,CASE-000038,CM-009,Internal Note,2025-03-27,16
ACT-0000229,CASE-000038,CM-009,Demand Drafting,2024-06-01,10
ACT-0000230,CASE-000038,CM-009,Negotiation Call,2024-10-11,10
ACT-0000231,CASE-000039,CM-002,SMS,2024-05-19,12
ACT-0000232,CASE-000039,CM-002,SMS,2024-06-11,29
ACT-0000233,CASE-000039,CM-002,Client Meeting,2025-01-04,1
ACT-0000234,CASE-000040,CM-005,Medical Record Review,2024-12-16,18
ACT-0000235,CASE-000040,CM-005,Document Request,2025-03-28,30
ACT-0000236,CASE-000040,CM-005,Internal Note,2025-01-13,29
ACT-0000237,CASE-000040,CM-005,Demand Drafting,2025-01-07,22
ACT-0000238,CASE-000041,CM-002,Status Update,2024-09-23,17
ACT-0000239,CASE-000041,CM-002,Internal Note,2024-11-13,27
ACT-0000240,CASE-000042,CM-007,Status Update,2024-01-15,4
ACT-0000241,CASE-000042,CM-007,Status Update,2024-04-22,14
ACT-0000242,CASE-000042,CM-007,Internal Note,2024-03-13,15
ACT-0000243,CASE-000042,CM-007,Phone Call,2024-01-12,23
ACT-0000244,CASE-000042,CM-007,Document Request,2024-05-08,24
ACT-0000245,CASE-000042,CM-007,Internal Note,2024-01-25,11
ACT-0000246,CASE-000042,CM-007,Internal Note,2024-01-15,11
ACT-0000247,CASE-000042,CM-007,Status Update,2024-03-02,38
ACT-0000248,CASE-000042,CM-007,Negotiation Call,2024-03-25,14
ACT-0000249,CASE-000042,CM-007,Status Update,2023-09-07,30
ACT-0000250,CASE-000042,CM-007,Internal Note,2024-07-14,8
ACT-0000251,CASE-000043,CM-005,SMS,2025-03-08,27
ACT-0000252,CASE-000043,CM-005,Demand Drafting,2025-03-04,18
ACT-0000253,CASE-000043,CM-005,Internal Note,2025-03-09,21
ACT-0000254,CASE-000044,CM-015,Client Meeting,2025-05-08,26
ACT-0000255,CASE-000045,CM-017,SMS,2023-10-23,12
ACT-0000256,CASE-000045,CM-017,Document Request,2024-12-18,31
ACT-0000257,CASE-000045,CM-017,Client Meeting,2025-05-27,13
ACT-0000258,CASE-000045,CM-017,Client Meeting,2024-02-01,7
ACT-0000259,CASE-000045,CM-017,Status Update,2024-07-27,17
ACT-0000260,CASE-000045,CM-017,Document Request,2025-06-20,8
ACT-0000261,CASE-000045,CM-017,Internal Note,2024-05-02,9
ACT-0000262,CASE-000045,CM-017,SMS,2024-01-30,14
ACT-0000263,CASE-000045,CM-017,Status Update,2024-12-17,29
ACT-0000264,CASE-000046,CM-009,Medical Record Review,2025-01-15,1
ACT-0000265,CASE-000046,CM-009,SMS,2024-12-22,7
ACT-0000266,CASE-000046,CM-009,Negotiation Call,2024-08-26,28
ACT-0000267,CASE-000046,CM-009,Medical Record Review,2025-01-20,10
ACT-0000268,CASE-000046,CM-009,Internal Note,2025-02-27,28
ACT-0000269,CASE-000046,CM-009,Negotiation Call,2024-08-23,18
ACT-0000270,CASE-000046,CM-009,Medical Record Review,2024-10-29,6
ACT-0000271,CASE-000046,CM-009,Client Meeting,2024-10-19,15
ACT-0000272,CASE-000047,CM-014,Client Meeting,2023-10-04,19
ACT-0000273,CASE-000047,CM-014,Demand Drafting,2024-09-03,9
ACT-0000274,CASE-000047,CM-014,SMS,2024-03-10,24
ACT-0000275,CASE-000047,CM-014,Status Update,2024-12-09,16
ACT-0000276,CASE-000047,CM-014,Phone Call,2023-09-29,9
ACT-0000277,CASE-000048,CM-007,Medical Record Review,2024-11-07,23
ACT-0000278,CASE-000049,CM-001,Status Update,2024-07-17,4
ACT-0000279,CASE-000049,CM-001,Medical Record Review,2024-10-24,8
ACT-0000280,CASE-000049,CM-001,Phone Call,2024-11-05,39
ACT-0000281,CASE-000049,CM-001,Status Update,2024-04-26,5
ACT-0000282,CASE-000049,CM-001,Phone Call,2024-03-29,33
ACT-0000283,CASE-000049,CM-001,Phone Call,2024-10-02,4
ACT-0000284,CASE-000049,CM-001,Client Meeting,2024-12-12,14
ACT-0000285,CASE-000050,CM-010,Client Meeting,2025-01-02,14
ACT-0000286,CASE-000050,CM-010,Email,2024-12-22,30
ACT-0000287,CASE-000051,CM-008,SMS,2025-02-03,14
ACT-0000288,CASE-000051,CM-008,Client Meeting,2025-04-30,11
ACT-0000289,CASE-000051,CM-008,Phone Call,2025-06-07,22
ACT-0000290,CASE-000051,CM-008,Medical Record Review,2025-01-24,12
ACT-0000291,CASE-000051,CM-008,Demand Drafting,2025-06-26,5
ACT-0000292,CASE-000051,CM-008,Medical Record Review,2025-01-05,19
ACT-0000293,CASE-000051,CM-008,Phone Call,2025-04-08,2
ACT-0000294,CASE-000051,CM-008,Email,2025-05-26,14
ACT-0000295,CASE-000051,CM-008,Client Meeting,2025-02-10,25
ACT-0000296,CASE-000051,CM-008,Email,2024-12-31,8
ACT-0000297,CASE-000051,CM-008,SMS,2025-03-20,17
ACT-0000298,CASE-000052,CM-008,Email,2025-04-03,8
ACT-0000299,CASE-000052,CM-008,Email,2025-03-28,12
ACT-0000300,CASE-000052,CM-008,Phone Call,2025-03-24,20
ACT-0000301,CASE-000052,CM-008,SMS,2025-03-19,15
ACT-0000302,CASE-000052,CM-008,Demand Drafting,2025-01-28,22
ACT-0000303,CASE-000052,CM-008,Demand Drafting,2025-02-01,22
ACT-0000304,CASE-000052,CM-008,Email,2025-03-15,16
ACT-0000305,CASE-000053,CM-016,Internal Note,2024-02-15,11
ACT-0000306,CASE-000053,CM-016,Medical Record Review,2023-10-12,27
ACT-0000307,CASE-000053,CM-016,Status Update,2024-08-30,17
ACT-0000308,CASE-000053,CM-016,Demand Drafting,2024-12-20,9
ACT-0000309,CASE-000054,CM-007,Internal Note,2025-06-04,30
ACT-0000310,CASE-000054,CM-007,Internal Note,2025-05-28,18
ACT-0000311,CASE-000054,CM-007,Demand Drafting,2025-05-17,19
ACT-0000312,CASE-000054,CM-007,Demand Drafting,2025-05-26,11
ACT-0000313,CASE-000055,CM-004,Email,2024-03-17,4
ACT-0000314,CASE-000055,CM-004,Medical Record Review,2024-03-24,32
ACT-0000315,CASE-000055,CM-004,Medical Record Review,2024-01-12,25
ACT-0000316,CASE-000055,CM-004,Status Update,2024-03-20,1
ACT-0000317,CASE-000056,CM-005,Status Update,2024-02-26,23
ACT-0000318,CASE-000056,CM-005,Phone Call,2024-04-30,19
ACT-0000319,CASE-000056,CM-005,Medical Record Review,2023-09-22,7
ACT-0000320,CASE-000056,CM-005,Document Request,2023-11-13,14
ACT-0000321,CASE-000056,CM-005,Negotiation Call,2023-10-18,20
ACT-0000322,CASE-000057,CM-009,Medical Record Review,2024-09-02,1
ACT-0000323,CASE-000057,CM-009,Status Update,2024-10-26,1
ACT-0000324,CASE-000057,CM-009,Document Request,2024-08-31,34
ACT-0000325,CASE-000057,CM-009,Negotiation Call,2024-12-05,36
ACT-0000326,CASE-000057,CM-009,SMS,2024-12-10,20
ACT-0000327,CASE-000057,CM-009,Phone Call,2024-11-02,17
ACT-0000328,CASE-000058,CM-016,Client Meeting,2025-04-07,15
ACT-0000329,CASE-000058,CM-016,Client Meeting,2025-06-16,24
ACT-0000330,CASE-000058,CM-016,Phone Call,2024-12-23,20
ACT-0000331,CASE-000058,CM-016,Negotiation Call,2024-05-31,24
ACT-0000332,CASE-000058,CM-016,Medical Record Review,2024-12-19,25
ACT-0000333,CASE-000058,CM-016,Phone Call,2025-03-19,14
ACT-0000334,CASE-000058,CM-016,Medical Record Review,2025-06-10,35
ACT-0000335,CASE-000058,CM-016,Medical Record Review,2025-03-14,5
ACT-0000336,CASE-000058,CM-016,Phone Call,2024-12-30,24
ACT-0000337,CASE-000058,CM-016,Internal Note,2024-11-04,16
ACT-0000338,CASE-000058,CM-016,Demand Drafting,2025-06-06,16
ACT-0000339,CASE-000058,CM-016,Email,2025-03-28,17
ACT-0000340,CASE-000059,CM-014,Client Meeting,2025-05-11,30
ACT-0000341,CASE-000059,CM-014,Phone Call,2025-05-05,10
ACT-0000342,CASE-000059,CM-014,Email,2025-03-05,1
ACT-0000343,CASE-000059,CM-014,Medical Record Review,2025-05-07,10
ACT-0000344,CASE-000059,CM-014,Internal Note,2025-05-09,34
ACT-0000345,CASE-000059,CM-014,Demand Drafting,2025-05-13,7
ACT-0000346,CASE-000059,CM-014,Email,2025-04-16,19
ACT-0000347,CASE-000060,CM-006,Status Update,2025-05-29,23
ACT-0000348,CASE-000060,CM-006,Demand Drafting,2025-04-28,27
ACT-0000349,CASE-000060,CM-006,Demand Drafting,2025-05-03,27
ACT-0000350,CASE-000060,CM-006,Email,2025-03-17,17
ACT-0000351,CASE-000060,CM-006,Phone Call,2025-04-07,18
ACT-0000352,CASE-000061,CM-003,Phone Call,2025-05-20,33
ACT-0000353,CASE-000061,CM-003,Demand Drafting,2025-06-18,7
ACT-0000354,CASE-000061,CM-003,Status Update,2024-09-12,19
ACT-0000355,CASE-000061,CM-003,Email,2024-10-07,14
ACT-0000356,CASE-000061,CM-003,Negotiation Call,2024-12-12,24
ACT-0000357,CASE-000062,CM-016,Demand Drafting,2025-06-26,22
ACT-0000358,CASE-000062,CM-016,SMS,2025-06-30,5
ACT-0000359,CASE-000062,CM-016,SMS,2025-06-20,34
ACT-0000360,CASE-000062,CM-016,Email,2025-06-30,26
ACT-0000361,CASE-000063,CM-016,Client Meeting,2024-03-12,27
ACT-0000362,CASE-000063,CM-016,Phone Call,2024-05-04,21
ACT-0000363,CASE-000063,CM-016,Email,2024-05-10,9
ACT-0000364,CASE-000064,CM-012,Status Update,2024-08-24,20
ACT-0000365,CASE-000064,CM-012,Negotiation Call,2024-09-28,1
ACT-0000366,CASE-000064,CM-012,Demand Drafting,2024-08-10,3
ACT-0000367,CASE-000064,CM-012,Document Request,2024-09-10,17
ACT-0000368,CASE-000064,CM-012,Medical Record Review,2024-09-24,17
ACT-0000369,CASE-000064,CM-012,Internal Note,2024-08-07,23
ACT-0000370,CASE-000064,CM-012,Status Update,2024-08-02,27
ACT-0000371,CASE-000064,CM-012,Client Meeting,2024-09-08,7
ACT-0000372,CASE-000064,CM-012,Email,2024-08-13,17
ACT-0000373,CASE-000064,CM-012,Status Update,2024-08-24,9
ACT-0000374,CASE-000065,CM-001,Email,2024-07-16,10
ACT-0000375,CASE-000065,CM-001,Document Request,2024-05-22,1
ACT-0000376,CASE-000065,CM-001,Status Update,2024-07-24,17
ACT-0000377,CASE-000066,CM-017,Phone Call,2025-05-29,17
ACT-0000378,CASE-000066,CM-017,Medical Record Review,2025-05-27,14
ACT-0000379,CASE-000066,CM-017,Medical Record Review,2025-05-31,32
ACT-0000380,CASE-000066,CM-017,SMS,2025-05-27,5
ACT-0000381,CASE-000066,CM-017,Negotiation Call,2025-05-31,12
ACT-0000382,CASE-000066,CM-017,Document Request,2025-05-31,13
ACT-0000383,CASE-000066,CM-017,Internal Note,2025-05-27,12
ACT-0000384,CASE-000066,CM-017,Status Update,2025-05-28,11
ACT-0000385,CASE-000066,CM-017,Client Meeting,2025-05-28,16
ACT-0000386,CASE-000067,CM-009,Internal Note,2025-06-19,1
ACT-0000387,CASE-000067,CM-009,Document Request,2025-06-13,23
ACT-0000388,CASE-000067,CM-009,Client Meeting,2025-05-29,10
ACT-0000389,CASE-000067,CM-009,Client Meeting,2025-06-03,1
ACT-0000390,CASE-000067,CM-009,Client Meeting,2025-06-18,29
ACT-0000391,CASE-000068,CM-008,SMS,2024-01-26,1
ACT-0000392,CASE-000068,CM-008,Email,2023-12-15,24
ACT-0000393,CASE-000068,CM-008,Medical Record Review,2024-08-21,19
ACT-0000394,CASE-000068,CM-008,Client Meeting,2024-01-20,19
ACT-0000395,CASE-000068,CM-008,Phone Call,2024-09-08,32
ACT-0000396,CASE-000068,CM-008,Internal Note,2024-03-24,20
ACT-0000397,CASE-000068,CM-008,Phone Call,2024-08-26,8
ACT-0000398,CASE-000068,CM-008,SMS,2023-12-31,37
