document_id,case_id,document_type,status,requested_date,received_date
DOC-0000072,CASE-000013,Demand Letter,Received,2024-07-26,2024-08-31
DOC-0000073,CASE-000013,Witness Statement,Received,2024-08-09,2024-09-10
DOC-0000074,CASE-000014,Medical Bill,Received,2024-04-16,2024-05-05
DOC-0000075,CASE-000014,HIPAA Authorization,Received,2024-04-20,2024-05-23
DOC-0000076,CASE-000014,Demand Letter,Received,2024-04-26,2024-05-23
DOC-0000077,CASE-000015,Police Report,Missing,2024-05-02,
DOC-0000078,CASE-000015,Wage Loss Statement,Missing,2024-05-10,
DOC-0000079,CASE-000015,Wage Loss Statement,Missing,2024-04-20,
DOC-0000080,CASE-000015,Wage Loss Statement,Received,2024-04-17,2024-04-25
DOC-0000081,CASE-000015,Medical Bill,Missing,2024-04-28,
DOC-0000082,CASE-000016,Medical Bill,Received,2023-11-21,2023-12-22
DOC-0000083,CASE-000016,Medical Bill,Received,2023-11-21,2023-11-23
DOC-0000084,CASE-000016,Police Report,Received,2023-11-13,2023-11-18
DOC-0000085,CASE-000016,HIPAA Authorization,Received,2023-11-03,2023-12-02
DOC-0000086,CASE-000016,Witness Statement,Missing,2023-11-06,
DOC-0000087,CASE-000016,Medical Bill,Received,2023-11-10,2023-11-26
DOC-0000088,CASE-000016,HIPAA Authorization,Received,2023-11-08,2023-11-13
DOC-0000089,CASE-000016,Witness Statement,Received,2023-11-20,2024-01-02
DOC-0000090,CASE-000017,HIPAA Authorization,Missing,2023-11-11,
DOC-0000091,CASE-000017,HIPAA Authorization,Received,2023-10-26,2023-11-13
DOC-0000092,CASE-000017,Demand Letter,Missing,2023-11-16,
DOC-0000093,CASE-000017,Wage Loss Statement,Missing,2023-10-30,
DOC-0000094,CASE-000017,Insurance Declaration,Received,2023-10-21,2023-10-30
DOC-0000095,CASE-000017,Wage Loss Statement,Received,2023-11-17,2023-12-22
DOC-0000096,CASE-000018,Police Report,Missing,2023-10-09,
DOC-0000097,CASE-000018,HIPAA Authorization,Missing,2023-10-06,
DOC-0000098,CASE-000018,Photo Evidence,Received,2023-10-16,2023-11-09
DOC-0000099,CASE-000018,Photo Evidence,Missing,2023-09-30,
DOC-0000100,CASE-000018,HIPAA Authorization,Missing,2023-10-08,
DOC-0000101,CASE-000019,Demand Letter,Received,2024-09-11,2024-10-06
DOC-0000102,CASE-000019,Witness Statement,Received,2024-09-19,2024-10-24
DOC-0000103,CASE-000019,HIPAA Authorization,Missing,2024-09-16,
DOC-0000104,CASE-000019,Retainer Agreement,Received,2024-09-17,2024-10-02
DOC-0000105,CASE-000019,Insurance Declaration,Missing,2024-10-06,
DOC-0000106,CASE-000019,Retainer Agreement,Received,2024-10-07,2024-11-18
DOC-0000107,CASE-000019,Medical Bill,Received,2024-09-19,2024-09-24
DOC-0000108,CASE-000019,Medical Bill,Received,2024-09-26,2024-10-07
DOC-0000109,CASE-000020,HIPAA Authorization,Received,2023-12-01,2024-01-09
DOC-0000110,CASE-000020,Demand Letter,Missing,2023-11-14,
DOC-0000111,CASE-000020,Demand Letter,Missing,2023-11-18,
DOC-0000112,CASE-000020,Insurance Declaration,Received,2023-11-13,2023-11-18
DOC-0000113,CASE-000020,Witness Statement,Received,2023-11-12,2023-12-14
DOC-0000114,CASE-000020,Medical Bill,Received,2023-11-13,2023-11-25
DOC-0000115,CASE-000020,Wage Loss Statement,Received,2023-11-24,2023-12-26
DOC-0000116,CASE-000020,Retainer Agreement,Received,2023-12-01,2023-12-12
DOC-0000117,CASE-000021,Insurance Declaration,Received,2025-05-19,2025-06-23
DOC-0000118,CASE-000021,Photo Evidence,Pending,2025-06-08,
DOC-0000119,CASE-000021,Demand Letter,Received,2025-06-03,2025-06-17
DOC-0000120,CASE-000021,Photo Evidence,Pending,2025-05-27,
DOC-0000121,CASE-000021,Police Report,Missing,2025-05-24,
DOC-0000122,CASE-000021,Witness Statement,Missing,2025-05-22,
DOC-0000123,CASE-000022,Photo Evidence,Received,2024-09-23,2024-10-16
DOC-0000124,CASE-000022,Witness Statement,Missing,2024-10-01,
DOC-0000125,CASE-000022,Photo Evidence,Received,2024-09-10,2024-10-03
DOC-0000126,CASE-000022,Witness Statement,Received,2024-09-11,2024-10-19
DOC-0000127,CASE-000022,Wage Loss Statement,Missing,2024-09-20,
DOC-0000128,CASE-000023,Retainer Agreement,Received,2024-05-01,2024-05-19
DOC-0000129,CASE-000023,HIPAA Authorization,Received,2024-05-10,2024-06-09
DOC-0000130,CASE-000023,Retainer Agreement,Received,2024-05-14,2024-06-27
DOC-0000131,CASE-000023,Insurance Declaration,Missing,2024-05-06,
DOC-0000132,CASE-000023,Retainer Agreement,Missing,2024-05-10,
DOC-0000133,CASE-000024,Retainer Agreement,Received,2024-10-07,2024-11-04
DOC-0000134,CASE-000024,Police Report,Received,2024-09-24,2024-10-18
DOC-0000135,CASE-000024,Witness Statement,Received,2024-09-27,2024-11-05
DOC-0000136,CASE-000024,HIPAA Authorization,Missing,2024-09-23,
DOC-0000137,CASE-000025,Witness Statement,Received,2023-08-14,2023-09-23
DOC-0000138,CASE-000025,Photo Evidence,Received,2023-07-28,2023-08-12
DOC-0000139,CASE-000025,HIPAA Authorization,Received,2023-08-14,2023-08-16
DOC-0000140,CASE-000025,Witness Statement,Received,2023-08-16,2023-09-10
DOC-0000141,CASE-000025,Medical Bill,Received,2023-07-25,2023-08-12
DOC-0000142,CASE-000025,Insurance Declaration,Received,2023-08-07,2023-08-16
DOC-0000143,CASE-000025,Wage Loss Statement,Received,2023-08-12,2023-09-02
DOC-0000144,CASE-000026,Medical Bill,Pending,2025-06-10,
DOC-0000145,CASE-000026,Witness Statement,Received,2025-06-06,2025-06-30
DOC-0000146,CASE-000026,Witness Statement,Pending,2025-06-17,
DOC-0000147,CASE-000027,Insurance Declaration,Received,2024-08-14,2024-09-14
DOC-0000148,CASE-000027,Demand Letter,Received,2024-07-28,2024-09-10
DOC-0000149,CASE-000027,Police Report,Received,2024-08-14,2024-09-27
DOC-0000150,CASE-000028,Retainer Agreement,Received,2025-01-29,2025-02-14
DOC-0000151,CASE-000028,Police Report,Received,2025-01-24,2025-02-08
DOC-0000152,CASE-000028,Retainer Agreement,Received,2025-02-14,2025-03-02
DOC-0000153,CASE-000028,Insurance Declaration,Missing,2025-01-27,
DOC-0000154,CASE-000028,Insurance Declaration,Missing,2025-02-11,
DOC-0000155,CASE-000028,Witness Statement,Received,2025-01-31,2025-02-03
DOC-0000156,CASE-000028,Demand Letter,Received,2025-02-07,2025-03-23
DOC-0000157,CASE-000028,Demand Letter,Received,2025-01-30,2025-02-02
DOC-0000158,CASE-000029,Photo Evidence,Missing,2023-09-14,
DOC-0000159,CASE-000029,HIPAA Authorization,Received,2023-09-19,2023-09-26
DOC-0000160,CASE-000029,Photo Evidence,Missing,2023-09-19,
DOC-0000161,CASE-000029,HIPAA Authorization,Received,2023-09-26,2023-11-07
DOC-0000162,CASE-000029,Photo Evidence,Received,2023-10-03,2023-11-14
DOC-0000163,CASE-000029,Photo Evidence,Missing,2023-09-23,
DOC-0000164,CASE-000029,Photo Evidence,Received,2023-09-14,2023-10-24
DOC-0000165,CASE-000030,HIPAA Authorization,Missing,2024-08-10,
DOC-0000166,CASE-000030,Medical Bill,Received,2024-08-14,2024-08-30
DOC-0000167,CASE-000030,Police Report,Received,2024-08-01,2024-08-18
DOC-0000168,CASE-000030,Wage Loss Statement,Missing,2024-08-12,
DOC-0000169,CASE-000031,Wage Loss Statement,Received,2024-07-27,2024-09-03
DOC-0000170,CASE-000031,Photo Evidence,Missing,2024-07-24,
DOC-0000171,CASE-000031,Insurance Declaration,Missing,2024-08-09,
DOC-0000172,CASE-000031,Demand Letter,Received,2024-07-29,2024-08-09
DOC-0000173,CASE-000031,Retainer Agreement,Received,2024-08-11,2024-08-31
DOC-0000174,CASE-000031,Photo Evidence,Received,2024-07-28,2024-09-04
DOC-0000175,CASE-000032,Retainer Agreement,Missing,2025-06-25,
DOC-0000176,CASE-000032,Medical Bill,Pending,2025-06-21,
DOC-0000177,CASE-000032,Police Report,Pending,2025-06-01,
DOC-0000178,CASE-000032,Insurance Declaration,Pending,2025-06-18,
DOC-0000179,CASE-000033,Demand Letter,Received,2025-06-03,2025-06-14
DOC-0000180,CASE-000033,Police Report,Pending,2025-06-18,
DOC-0000181,CASE-000033,Medical Bill,Received,2025-06-02,2025-06-09
DOC-0000182,CASE-000033,Demand Letter,Received,2025-05-24,2025-06-03
DOC-0000183,CASE-000033,Photo Evidence,Missing,2025-06-09,
DOC-0000184,CASE-000033,Photo Evidence,Pending,2025-05-31,
DOC-0000185,CASE-000034,Medical Bill,Missing,2024-09-24,
DOC-0000186,CASE-000034,Retainer Agreement,Received,2024-09-16,2024-10-29
DOC-0000187,CASE-000034,Wage Loss Statement,Received,2024-09-23,2024-10-24
DOC-0000188,CASE-000034,Medical Bill,Missing,2024-09-17,
DOC-0000189,CASE-000035,Retainer Agreement,Missing,2024-07-18,
DOC-0000190,CASE-000035,Police Report,Received,2024-07-18,2024-08-26
DOC-0000191,CASE-000035,Demand Letter,Missing,2024-07-29,
DOC-0000192,CASE-000035,Medical Bill,Received,2024-07-23,2024-08-05
DOC-0000193,CASE-000035,Insurance Declaration,Received,2024-08-08,2024-09-02
DOC-0000194,CASE-000035,Witness Statement,Missing,2024-07-13,
DOC-0000195,CASE-000035,HIPAA Authorization,Missing,2024-07-11,
DOC-0000196,CASE-000036,Medical Bill,Received,2024-08-01,2024-08-21
DOC-0000197,CASE-000036,Demand Letter,Received,2024-07-24,2024-08-27
DOC-0000198,CASE-000036,Demand Letter,Received,2024-07-16,2024-08-04
DOC-0000199,CASE-000037,Wage Loss Statement,Received,2024-02-22,2024-02-26
DOC-0000200,CASE-000037,Police Report,Received,2024-03-01,2024-04-09
DOC-0000201,CASE-000037,Demand Letter,Received,2024-02-06,2024-02-22
DOC-0000202,CASE-000037,Police Report,Received,2024-02-16,2024-03-23
DOC-0000203,CASE-000037,Photo Evidence,Received,2024-02-29,2024-03-02
DOC-0000204,CASE-000037,Witness Statement,Received,2024-02-26,2024-03-14
DOC-0000205,CASE-000037,Demand Letter,Received,2024-02-08,2024-03-19
DOC-0000206,CASE-000037,Witness Statement,Missing,2024-02-20,
DOC-0000207,CASE-000038,Insurance Declaration,Received,2024-04-28,2024-06-06
DOC-0000208,CASE-000038,Demand Letter,Missing,2024-04-30,
DOC-0000209,CASE-000038,Police Report,Received,2024-04-17,2024-04-20
DOC-0000210,CASE-000038,Insurance Declaration,Received,2024-04-15,2024-04-18
DOC-0000211,CASE-000038,Retainer Agreement,Received,2024-04-23,2024-05-27
DOC-0000212,CASE-000038,Medical Bill,Received,2024-04-21,2024-04-28
DOC-0000213,CASE-000038,Wage Loss Statement,Received,2024-04-26,2024-05-14
DOC-0000214,CASE-000039,HIPAA Authorization,Received,2024-05-08,2024-06-18
DOC-0000215,CASE-000039,Retainer Agreement,Received,2024-05-01,2024-05-05
DOC-0000216,CASE-000039,Demand Letter,Received,2024-05-03,2024-05-05
DOC-0000217,CASE-000039,Demand Letter,Received,2024-04-27,2024-04-29
DOC-0000218,CASE-000039,Photo Evidence,Received,2024-05-04,2024-06-09
DOC-0000219,CASE-000039,Photo Evidence,Received,2024-05-07,2024-05-14
DOC-0000220,CASE-000039,Retainer Agreement,Received,2024-05-02,2024-05-21
DOC-0000221,CASE-000040,Retainer Agreement,Received,2024-08-20,2024-09-17
DOC-0000222,CASE-000040,Medical Bill,Received,2024-08-05,2024-09-12
DOC-0000223,CASE-000040,Photo Evidence,Received,2024-08-04,2024-08-18
DOC-0000224,CASE-000040,Photo Evidence,Received,2024-08-17,2024-09-13
DOC-0000225,CASE-000040,Medical Bill,Received,2024-08-09,2024-09-15
DOC-0000226,CASE-000040,Insurance Declaration,Missing,2024-08-27,
DOC-0000227,CASE-000040,Retainer Agreement,Received,2024-08-28,2024-09-29
DOC-0000228,CASE-000041,Police Report,Missing,2024-07-21,
DOC-0000229,CASE-000041,Insurance Declaration,Received,2024-07-12,2024-07-14
DOC-0000230,CASE-000041,HIPAA Authorization,Missing,2024-07-14,
DOC-0000231,CASE-000042,Photo Evidence,Received,2023-08-04,2023-08-31
DOC-0000232,CASE-000042,Retainer Agreement,Missing,2023-07-23,
DOC-0000233,CASE-000042,Demand Letter,Received,2023-07-26,2023-08-01
DOC-0000234,CASE-000043,Medical Bill,Received,2025-03-05,2025-03-13
DOC-0000235,CASE-000043,Witness Statement,Received,2025-03-11,2025-04-17
DOC-0000236,CASE-000043,Photo Evidence,Received,2025-03-01,2025-03-22
DOC-0000237,CASE-000043,HIPAA Authorization,Received,2025-03-24,2025-04-29
DOC-0000238,CASE-000043,Police Report,Received,2025-03-23,2025-04-21
DOC-0000239,CASE-000043,HIPAA Authorization,Received,2025-03-06,2025-04-04
DOC-0000240,CASE-000043,Photo Evidence,Received,2025-03-17,2025-04-14
DOC-0000241,CASE-000043,Photo Evidence,Received,2025-03-22,2025-04-24
DOC-0000242,CASE-000044,Insurance Declaration,Pending,2025-05-21,
DOC-0000243,CASE-000044,Wage Loss Statement,Received,2025-05-21,2025-05-25
DOC-0000244,CASE-000044,HIPAA Authorization,Received,2025-05-02,2025-06-10
DOC-0000245,CASE-000044,Retainer Agreement,Received,2025-05-18,2025-06-04
DOC-0000246,CASE-000044,Retainer Agreement,Received,2025-05-15,2025-06-09
DOC-0000247,CASE-000044,HIPAA Authorization,Missing,2025-05-20,
DOC-0000248,CASE-000044,Photo Evidence,Received,2025-05-11,2025-06-06
DOC-0000249,CASE-000044,Wage Loss Statement,Received,2025-05-05,2025-05-20
DOC-0000250,CASE-000045,Wage Loss Statement,Missing,2023-10-30,
DOC-0000251,CASE-000045,Medical Bill,Received,2023-10-31,2023-12-05
DOC-0000252,CASE-000045,Photo Evidence,Missing,2023-10-16,
DOC-0000253,CASE-000045,Wage Loss Statement,Received,2023-10-22,2023-10-28
DOC-0000254,CASE-000045,Demand Letter,Received,2023-11-06,2023-11-12
DOC-0000255,CASE-000045,HIPAA Authorization,Received,2023-10-17,2023-11-19
DOC-0000256,CASE-000046,Insurance Declaration,Received,2024-09-01,2024-09-22
DOC-0000257,CASE-000046,Insurance Declaration,Received,2024-09-18,2024-10-07
DOC-0000258,CASE-000046,Retainer Agreement,Received,2024-08-27,2024-10-08
DOC-0000259,CASE-000046,Police Report,Received,2024-09-09,2024-10-02
DOC-0000260,CASE-000046,Police Report,Received,2024-09-01,2024-09-26
DOC-0000261,CASE-000046,Witness Statement,Received,2024-09-06,2024-10-08
DOC-0000262,CASE-000046,Insurance Declaration,Received,2024-09-06,2024-10-13
DOC-0000263,CASE-000047,HIPAA Authorization,Received,2023-10-11,2023-11-12
DOC-0000264,CASE-000047,Witness Statement,Received,2023-10-23,2023-12-06
DOC-0000265,CASE-000047,Retainer Agreement,Received,2023-10-08,2023-11-21
DOC-0000266,CASE-000047,Medical Bill,Received,2023-10-07,2023-11-19
DOC-0000267,CASE-000047,Insurance Declaration,Missing,2023-10-17,
DOC-0000268,CASE-000047,Wage Loss Statement,Received,2023-10-12,2023-11-20
DOC-0000269,CASE-000048,Photo Evidence,Received,2024-11-24,2024-12-16
DOC-0000270,CASE-000048,Retainer Agreement,Received,2024-11-13,2024-11-22
DOC-0000271,CASE-000048,Insurance Declaration,Received,2024-11-27,2025-01-06
DOC-0000272,CASE-000048,Insurance Declaration,Received,2024-11-05,2024-11-28
DOC-0000273,CASE-000049,Photo Evidence,Received,2024-02-23,2024-03-24
DOC-0000274,CASE-000049,Witness Statement,Received,2024-03-04,2024-03-25
DOC-0000275,CASE-000049,Police Report,Received,2024-03-19,2024-04-17
DOC-0000276,CASE-000049,Photo Evidence,Received,2024-03-01,2024-04-11
DOC-0000277,CASE-000049,Retainer Agreement,Received,2024-02-28,2024-03-30
DOC-0000278,CASE-000049,Witness Statement,Received,2024-03-04,2024-03-25
DOC-0000279,CASE-000050,HIPAA Authorization,Missing,2024-11-18,
DOC-0000280,CASE-000050,Police Report,Missing,2024-10-27,
DOC-0000281,CASE-000050,Police Report,Missing,2024-11-21,
DOC-0000282,CASE-000050,HIPAA Authorization,Received,2024-11-02,2024-11-23
DOC-0000283,CASE-000051,Medical Bill,Missing,2024-12-26,
DOC-0000284,CASE-000051,Insurance Declaration,Missing,2024-12-31,
DOC-0000285,CASE-000051,Witness Statement,Missing,2024-12-22,
DOC-0000286,CASE-000052,Photo Evidence,Received,2025-02-02,2025-02-21
DOC-0000287,CASE-000052,HIPAA Authorization,Missing,2025-01-29,
DOC-0000288,CASE-000052,Insurance Declaration,Received,2025-01-26,2025-02-06
DOC-0000289,CASE-000052,Wage Loss Statement,Received,2025-02-07,2025-03-17
DOC-0000290,CASE-000052,HIPAA Authorization,Received,2025-01-31,2025-02-25
DOC-0000291,CASE-000052,Demand Letter,Received,2025-02-03,2025-02-19
DOC-0000292,CASE-000052,Insurance Declaration,Received,2025-01-28,2025-03-07
DOC-0000293,CASE-000052,Photo Evidence,Missing,2025-01-25,
DOC-0000294,CASE-000053,Medical Bill,Received,2023-09-26,2023-11-01
DOC-0000295,CASE-000053,Retainer Agreement,Missing,2023-10-16,
DOC-0000296,CASE-000053,Demand Letter,Received,2023-10-17,2023-11-05
DOC-0000297,CASE-000053,Medical Bill,Missing,2023-10-02,
DOC-0000298,CASE-000053,Retainer Agreement,Received,2023-10-14,2023-10-20
DOC-0000299,CASE-000054,Police Report,Received,2025-05-10,2025-06-12
DOC-0000300,CASE-000054,Witness Statement,Missing,2025-06-05,
DOC-0000301,CASE-000054,Photo Evidence,Missing,2025-06-05,
DOC-0000302,CASE-000054,Medical Bill,Pending,2025-06-01,
DOC-0000303,CASE-000054,Medical Bill,Received,2025-05-12,2025-05-25
DOC-0000304,CASE-000055,Medical Bill,Missing,2024-01-18,
DOC-0000305,CASE-000055,Wage Loss Statement,Received,2024-01-26,2024-02-01
DOC-0000306,CASE-000055,HIPAA Authorization,Missing,2024-01-30,
DOC-0000307,CASE-000055,Witness Statement,Received,2024-01-31,2024-02-19
DOC-0000308,CASE-000055,Insurance Declaration,Received,2024-01-28,2024-03-06
DOC-0000309,CASE-000055,Witness Statement,Received,2024-01-06,2024-02-01
DOC-0000310,CASE-000056,Police Report,Received,2023-08-24,2023-10-05
DOC-0000311,CASE-000056,Medical Bill,Received,2023-08-21,2023-08-31
DOC-0000312,CASE-000056,Witness Statement,Missing,2023-08-04,
DOC-0000313,CASE-000056,Wage Loss Statement,Received,2023-08-23,2023-09-05
DOC-0000314,CASE-000056,Demand Letter,Received,2023-08-11,2023-09-14
DOC-0000315,CASE-000056,Photo Evidence,Missing,2023-08-11,
DOC-0000316,CASE-000056,Retainer Agreement,Received,2023-08-14,2023-08-21
DOC-0000317,CASE-000057,Retainer Agreement,Missing,2024-09-21,
DOC-0000318,CASE-000057,Wage Loss Statement,Missing,2024-09-22,
DOC-0000319,CASE-000057,Wage Loss Statement,Received,2024-09-01,2024-09-21
DOC-0000320,CASE-000057,Insurance Declaration,Missing,2024-09-02,
DOC-0000321,CASE-000057,Police Report,Missing,2024-08-30,
DOC-0000322,CASE-000058,Witness Statement,Received,2024-05-13,2024-06-20
DOC-0000323,CASE-000058,Photo Evidence,Received,2024-05-11,2024-06-02
DOC-0000324,CASE-000058,Insurance Declaration,Received,2024-05-15,2024-06-05
DOC-0000325,CASE-000058,Demand Letter,Received,2024-05-11,2024-06-19
DOC-0000326,CASE-000058,Retainer Agreement,Received,2024-05-11,2024-05-15
DOC-0000327,CASE-000058,Retainer Agreement,Received,2024-05-20,2024-06-11
DOC-0000328,CASE-000058,Witness Statement,Received,2024-05-28,2024-07-10
DOC-0000329,CASE-000058,HIPAA Authorization,Received,2024-05-30,2024-06-29
DOC-0000330,CASE-000059,Wage Loss Statement,Missing,2025-03-24,
DOC-0000331,CASE-000059,Witness Statement,Received,2025-03-19,2025-04-01
DOC-0000332,CASE-000059,Insurance Declaration,Received,2025-03-21,2025-04-06
DOC-0000333,CASE-000060,Photo Evidence,Received,2025-03-05,2025-04-03
DOC-0000334,CASE-000060,Photo Evidence,Received,2025-03-06,2025-03-26
DOC-0000335,CASE-000060,Medical Bill,Missing,2025-02-24,
DOC-0000336,CASE-000060,HIPAA Authorization,Received,2025-03-06,2025-04-13
DOC-0000337,CASE-000060,Medical Bill,Received,2025-02-24,2025-03-22
DOC-0000338,CASE-000060,Retainer Agreement,Missing,2025-02-24,
DOC-0000339,CASE-000060,Witness Statement,Missing,2025-02-25,
DOC-0000340,CASE-000061,Insurance Declaration,Received,2024-03-31,2024-04-24
DOC-0000341,CASE-000061,Insurance Declaration,Received,2024-04-10,2024-04-26
DOC-0000342,CASE-000061,Police Report,Received,2024-04-13,2024-05-08
DOC-0000343,CASE-000061,Police Report,Received,2024-04-04,2024-05-01
DOC-0000344,CASE-000061,Demand Letter,Missing,2024-04-03,
DOC-0000345,CASE-000061,Wage Loss Statement,Received,2024-04-06,2024-04-28
DOC-0000346,CASE-000061,Demand Letter,Received,2024-04-08,2024-05-03
DOC-0000347,CASE-000061,Wage Loss Statement,Received,2024-04-16,2024-05-14
DOC-0000348,CASE-000062,Medical Bill,Missing,2025-07-05,
DOC-0000349,CASE-000062,Wage Loss Statement,Pending,2025-06-30,
DOC-0000350,CASE-000062,Police Report,Missing,2025-06-13,
DOC-0000351,CASE-000062,Wage Loss Statement,Received,2025-06-25,2025-06-28
DOC-0000352,CASE-000062,Witness Statement,Pending,2025-06-21,
DOC-0000353,CASE-000062,HIPAA Authorization,Pending,2025-07-05,
DOC-0000354,CASE-000062,Witness Statement,Missing,2025-06-22,
DOC-0000355,CASE-000063,Wage Loss Statement,Received,2024-03-26,2024-04-03
DOC-0000356,CASE-000063,Wage Loss Statement,Missing,2024-03-25,
DOC-0000357,CASE-000063,Demand Letter,Received,2024-03-14,2024-04-25
DOC-0000358,CASE-000063,Wage Loss Statement,Received,2024-03-15,2024-04-04
DOC-0000359,CASE-000064,Witness Statement,Missing,2024-08-17,
DOC-0000360,CASE-000064,Medical Bill,Missing,2024-08-17,
DOC-0000361,CASE-000064,Witness Statement,Missing,2024-08-07,
DOC-0000362,CASE-000065,Insurance Declaration,Received,2024-01-28,2024-03-02
